"","vector","type","label","units","parent_vector","aggregation","details"
"1","v_CA11F_1","Total","Population, 2011","Number",NA,"Additive","CA 2011 Census; Population and Dwellings; Population, 2011"
"2","v_CA11F_2","Total","Total private dwellings","Number",NA,"Additive","CA 2011 Census; Population and Dwellings; Total private dwellings"
"3","v_CA11F_3","Total","Private dwellings occupied by usual residents","Number","v_CA11F_2","Additive","CA 2011 Census; Population and Dwellings; Total private dwellings; Private dwellings occupied by usual residents"
"4","v_CA11F_4","Total","Land area in square kilometres","Ratio",NA,"Additive","CA 2011 Census; Population and Dwellings; Land area in square kilometres"
"5","v_CA11F_5","Total","Total population by age groups","Number",NA,"Additive","CA 2011 Census; Age Groups; Total population by age groups"
"6","v_CA11F_6","Male","Total population by age groups","Number",NA,"Additive","CA 2011 Census; Age Groups; Total population by age groups"
"7","v_CA11F_7","Female","Total population by age groups","Number",NA,"Additive","CA 2011 Census; Age Groups; Total population by age groups"
"8","v_CA11F_8","Total","0 to 4 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 0 to 4 years"
"9","v_CA11F_9","Male","0 to 4 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 0 to 4 years"
"10","v_CA11F_10","Female","0 to 4 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 0 to 4 years"
"11","v_CA11F_11","Total","5 to 9 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 5 to 9 years"
"12","v_CA11F_12","Male","5 to 9 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 5 to 9 years"
"13","v_CA11F_13","Female","5 to 9 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 5 to 9 years"
"14","v_CA11F_14","Total","10 to 14 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 10 to 14 years"
"15","v_CA11F_15","Male","10 to 14 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 10 to 14 years"
"16","v_CA11F_16","Female","10 to 14 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 10 to 14 years"
"17","v_CA11F_17","Total","15 to 19 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years"
"18","v_CA11F_18","Male","15 to 19 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years"
"19","v_CA11F_19","Female","15 to 19 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years"
"20","v_CA11F_20","Total","15 years","Number","v_CA11F_17","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 15 years"
"21","v_CA11F_21","Male","15 years","Number","v_CA11F_18","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 15 years"
"22","v_CA11F_22","Female","15 years","Number","v_CA11F_19","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 15 years"
"23","v_CA11F_23","Total","16 years","Number","v_CA11F_17","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 16 years"
"24","v_CA11F_24","Male","16 years","Number","v_CA11F_18","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 16 years"
"25","v_CA11F_25","Female","16 years","Number","v_CA11F_19","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 16 years"
"26","v_CA11F_26","Total","17 years","Number","v_CA11F_17","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 17 years"
"27","v_CA11F_27","Male","17 years","Number","v_CA11F_18","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 17 years"
"28","v_CA11F_28","Female","17 years","Number","v_CA11F_19","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 17 years"
"29","v_CA11F_29","Total","18 years","Number","v_CA11F_17","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 18 years"
"30","v_CA11F_30","Male","18 years","Number","v_CA11F_18","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 18 years"
"31","v_CA11F_31","Female","18 years","Number","v_CA11F_19","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 18 years"
"32","v_CA11F_32","Total","19 years","Number","v_CA11F_17","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 19 years"
"33","v_CA11F_33","Male","19 years","Number","v_CA11F_18","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 19 years"
"34","v_CA11F_34","Female","19 years","Number","v_CA11F_19","Additive","CA 2011 Census; Age Groups; Total population by age groups; 15 to 19 years; 19 years"
"35","v_CA11F_35","Total","20 to 24 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 20 to 24 years"
"36","v_CA11F_36","Male","20 to 24 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 20 to 24 years"
"37","v_CA11F_37","Female","20 to 24 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 20 to 24 years"
"38","v_CA11F_38","Total","25 to 29 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 25 to 29 years"
"39","v_CA11F_39","Male","25 to 29 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 25 to 29 years"
"40","v_CA11F_40","Female","25 to 29 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 25 to 29 years"
"41","v_CA11F_41","Total","30 to 34 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 30 to 34 years"
"42","v_CA11F_42","Male","30 to 34 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 30 to 34 years"
