,vector,type,label,units,parent_vector,aggregation,details
1,v_CA1996_1,Total,"Population, 1991",Number,NA,Additive,"Canada Census 1996; 100% Data; Population; Population, 1991"
2,v_CA1996_2,Total,"Population, 1996",Number,NA,Additive,"Canada Census 1996; 100% Data; Population; Population, 1996"
3,v_CA1996_3,Total,"Population percentage change, 1991-1996",Number,NA,Additive,"Canada Census 1996; 100% Data; Population; Population percentage change, 1991-1996"
4,v_CA1996_4,Total,"Land area in square kilometres, 1996",Number,NA,Additive,"Canada Census 1996; 100% Data; Population; Land area in square kilometres, 1996"
5,v_CA1996_5,Total,Total population by sex and age groups,Number,NA,Additive,Canada Census 1996; 100% Data; Total population by sex and age groups
6,v_CA1996_6,Total,"Male, total",Number,v_CA1996_5,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total"
7,v_CA1996_7,Total,0-4,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 0-4"
8,v_CA1996_8,Total,9-May,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 5-9"
9,v_CA1996_9,Total,14-Oct,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 10-14"
10,v_CA1996_15,Total,15-19,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 15-19"
11,v_CA1996_10,Total,15,Number,v_CA1996_15,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 15-19; 15"
12,v_CA1996_11,Total,16,Number,v_CA1996_15,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 15-19; 16"
13,v_CA1996_12,Total,17,Number,v_CA1996_15,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 15-19; 17"
14,v_CA1996_13,Total,18,Number,v_CA1996_15,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 15-19; 18"
15,v_CA1996_14,Total,19,Number,v_CA1996_15,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 15-19; 19"
16,v_CA1996_16,Total,20-24,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 20-24"
17,v_CA1996_17,Total,25-29,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 25-29"
18,v_CA1996_18,Total,30-34,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 30-34"
19,v_CA1996_19,Total,35-39,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 35-39"
20,v_CA1996_20,Total,40-44,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 40-44"
21,v_CA1996_21,Total,45-49,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 45-49"
22,v_CA1996_22,Total,50-54,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 50-54"
23,v_CA1996_23,Total,55-59,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 55-59"
24,v_CA1996_24,Total,60-64,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 60-64"
25,v_CA1996_25,Total,65-69,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 65-69"
26,v_CA1996_26,Total,70-74,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 70-74"
27,v_CA1996_27,Total,75-79,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 75-79"
28,v_CA1996_28,Total,80-84,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 80-84"
29,v_CA1996_29,Total,85+,Number,v_CA1996_6,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Male, total; 85+"
30,v_CA1996_30,Total,"Female, total",Number,v_CA1996_5,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total"
31,v_CA1996_31,Total,0-4,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 0-4"
32,v_CA1996_32,Total,9-May,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 5-9"
33,v_CA1996_33,Total,14-Oct,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 10-14"
34,v_CA1996_39,Total,15-19,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 15-19"
35,v_CA1996_34,Total,15,Number,v_CA1996_39,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 15-19; 15"
36,v_CA1996_35,Total,16,Number,v_CA1996_39,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 15-19; 16"
37,v_CA1996_36,Total,17,Number,v_CA1996_39,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 15-19; 17"
38,v_CA1996_37,Total,18,Number,v_CA1996_39,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 15-19; 18"
39,v_CA1996_38,Total,19,Number,v_CA1996_39,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 15-19; 19"
40,v_CA1996_40,Total,20-24,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 20-24"
41,v_CA1996_41,Total,25-29,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 25-29"
42,v_CA1996_42,Total,30-34,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 30-34"
43,v_CA1996_43,Total,35-39,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 35-39"
44,v_CA1996_44,Total,40-44,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 40-44"
45,v_CA1996_45,Total,45-49,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 45-49"
46,v_CA1996_46,Total,50-54,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 50-54"
47,v_CA1996_47,Total,55-59,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 55-59"
48,v_CA1996_48,Total,60-64,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 60-64"
49,v_CA1996_49,Total,65-69,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 65-69"
50,v_CA1996_50,Total,70-74,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 70-74"
51,v_CA1996_51,Total,75-79,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 75-79"
52,v_CA1996_52,Total,80-84,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 80-84"
53,v_CA1996_53,Total,85+,Number,v_CA1996_30,Additive,"Canada Census 1996; 100% Data; Total population by sex and age groups; Female, total; 85+"
54,v_CA1996_54,Total,Total population 15 years and over by legal marital status,Number,NA,Additive,Canada Census 1996; 100% Data; Families; Total population 15 years and over by legal marital status
55,v_CA1996_55,Total,Never married (single),Number,v_CA1996_54,Additive,Canada Census 1996; 100% Data; Families; Total population 15 years and over by legal marital status; Never married (single)
56,v_CA1996_56,Total,Legally married (and not separated),Number,v_CA1996_54,Additive,Canada Census 1996; 100% Data; Families; Total population 15 years and over by legal marital status; Legally married (and not separated)
57,v_CA1996_57,Total,"Separated, but still legally married",Number,v_CA1996_54,Additive,"Canada Census 1996; 100% Data; Families; Total population 15 years and over by legal marital status; Separated, but still legally married"
58,v_CA1996_58,Total,Divorced,Number,v_CA1996_54,Additive,Canada Census 1996; 100% Data; Families; Total population 15 years and over by legal marital status; Divorced
59,v_CA1996_59,Total,Widowed,Number,v_CA1996_54,Additive,Canada Census 1996; 100% Data; Families; Total population 15 years and over by legal marital status; Widowed
60,v_CA1996_60,Total,Total number of census families in private households by family size,Number,NA,Additive,Canada Census 1996; 20% sample data; Children in census families; Total number of census families in private households by family size
61,v_CA1996_61,Total,"Size of census family, 2 persons",Number,v_CA1996_60,Additive,"Canada Census 1996; 20% sample data; Children in census families; Total number of census families in private households by family size; Size of census family, 2 persons"
62,v_CA1996_62,Total,"Size of census family, 3 persons",Number,v_CA1996_60,Additive,"Canada Census 1996; 20% sample data; Children in census families; Total number of census families in private households by family size; Size of census family, 3 persons"
63,v_CA1996_63,Total,"Size of census family, 4 persons",Number,v_CA1996_60,Additive,"Canada Census 1996; 20% sample data; Children in census families; Total number of census families in private households by family size; Size of census family, 4 persons"
64,v_CA1996_64,Total,"Size of census family, 5 or more persons",Number,v_CA1996_60,Additive,"Canada Census 1996; 20% sample data; Children in census families; Total number of census families in private households by family size; Size of census family, 5 or more persons"
65,v_CA1996_65,Total,Total husband-wife families by family structure,Number,NA,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure
66,v_CA1996_66,Total,Total families of now-married couples,Number,v_CA1996_65,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of now-married couples
67,v_CA1996_67,Total,Total without sons and/or daughters at home,Number,v_CA1996_66,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of now-married couples; Total without sons and/or daughters at home
68,v_CA1996_68,Total,Total with sons and/or daughters at home,Number,v_CA1996_66,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of now-married couples; Total with sons and/or daughters at home
69,v_CA1996_69,Total,1 son or daughter,Number,v_CA1996_68,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of now-married couples; Total with sons and/or daughters at home; 1 son or daughter
70,v_CA1996_70,Total,2 sons and/or daughters,Number,v_CA1996_68,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of now-married couples; Total with sons and/or daughters at home; 2 sons and/or daughters
71,v_CA1996_71,Total,3 or more sons and/or daughters,Number,v_CA1996_68,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of now-married couples; Total with sons and/or daughters at home; 3 or more sons and/or daughters
72,v_CA1996_72,Total,Total families of common-law couples,Number,v_CA1996_65,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of common-law couples
73,v_CA1996_73,Total,Total without sons and/or daughters at home,Number,v_CA1996_72,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of common-law couples; Total without sons and/or daughters at home
74,v_CA1996_74,Total,Total with sons and/or daughters at home,Number,v_CA1996_72,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of common-law couples; Total with sons and/or daughters at home
75,v_CA1996_75,Total,1 son or daughter,Number,v_CA1996_74,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of common-law couples; Total with sons and/or daughters at home; 1 son or daughter
76,v_CA1996_76,Total,2 sons and/or daughters,Number,v_CA1996_74,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of common-law couples; Total with sons and/or daughters at home; 2 sons and/or daughters
77,v_CA1996_77,Total,3 or more sons and/or daughters,Number,v_CA1996_74,Additive,Canada Census 1996; 20% sample data; Children in census families; Total husband-wife families by family structure; Total families of common-law couples; Total with sons and/or daughters at home; 3 or more sons and/or daughters
78,v_CA1996_78,Total,Total lone-parent families by sex of parent,Number,NA,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent
79,v_CA1996_79,Total,Male parent,Number,v_CA1996_78,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Male parent
80,v_CA1996_80,Total,1 son or daughter,Number,v_CA1996_79,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Male parent; 1 son or daughter
81,v_CA1996_81,Total,2 sons and/or daughters,Number,v_CA1996_79,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Male parent; 2 sons and/or daughters
82,v_CA1996_82,Total,3 or more sons and/or daughters,Number,v_CA1996_79,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Male parent; 3 or more sons and/or daughters
83,v_CA1996_83,Total,Female parent,Number,v_CA1996_78,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Female parent
84,v_CA1996_84,Total,1 son or daughter,Number,v_CA1996_83,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Female parent; 1 son or daughter
85,v_CA1996_85,Total,2 sons and/or daughters,Number,v_CA1996_83,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Female parent; 2 sons and/or daughters
86,v_CA1996_86,Total,3 or more sons and/or daughters,Number,v_CA1996_83,Additive,Canada Census 1996; 20% sample data; Children in census families; Total lone-parent families by sex of parent; Female parent; 3 or more sons and/or daughters
87,v_CA1996_87,Total,Total number of never-married sons and/or daughters at home,Number,NA,Additive,Canada Census 1996; 20% sample data; Children in census families; Total number of never-married sons and/or daughters at home
88,v_CA1996_88,Total,Under 6 years of age,Number,v_CA1996_87,Additive,Canada Census 1996; 20% sample data; Children in census families; Total number of never-married sons and/or daughters at home; Under 6 years of age
89,v_CA1996_89,Total,6 - 14 years,Number,v_CA1996_87,Additive,Canada Census 1996; 20% sample data; Children in census families; Total number of never-married sons and/or daughters at home; 6 - 14 years
90,v_CA1996_90,Total,15 - 17 years,Number,v_CA1996_87,Additive,Canada Census 1996; 20% sample data; Children in census families; Total number of never-married sons and/or daughters at home; 15 - 17 years
91,v_CA1996_91,Total,18 - 24 years,Number,v_CA1996_87,Additive,Canada Census 1996; 20% sample data; Children in census families; Total number of never-married sons and/or daughters at home; 18 - 24 years
92,v_CA1996_92,Total,25 years and over,Number,v_CA1996_87,Additive,Canada Census 1996; 20% sample data; Children in census families; Total number of never-married sons and/or daughters at home; 25 years and over
93,v_CA1996_93,Total,Average number of never-married sons and/or daughters at home per census family,Number,NA,Additive,Canada Census 1996; 20% sample data; Children in census families; Average number of never-married sons and/or daughters at home per census family
94,v_CA1996_94,Total,Total number of persons in private households,Number,NA,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons in private households
95,v_CA1996_95,Total,Number of non-family persons,Number,v_CA1996_94,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons in private households; Number of non-family persons
96,v_CA1996_96,Total,Living with relatives,Number,v_CA1996_95,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons in private households; Number of non-family persons; Living with relatives
97,v_CA1996_97,Total,Living with non-relatives only,Number,v_CA1996_95,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons in private households; Number of non-family persons; Living with non-relatives only
98,v_CA1996_98,Total,Living alone,Number,v_CA1996_95,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons in private households; Number of non-family persons; Living alone
99,v_CA1996_99,Total,Number of family persons,Number,v_CA1996_94,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons in private households; Number of family persons
100,v_CA1996_100,Total,Average number of persons per census family,Number,NA,Additive,Canada Census 1996; 20% sample data; Persons in private households; Average number of persons per census family
101,v_CA1996_101,Total,Total number of persons 65 years and over,Number,NA,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons 65 years and over
102,v_CA1996_102,Total,Number of non-family persons 65 years and over,Number,v_CA1996_101,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons 65 years and over; Number of non-family persons 65 years and over
103,v_CA1996_103,Total,Living with relatives,Number,v_CA1996_102,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons 65 years and over; Number of non-family persons 65 years and over; Living with relatives
