"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA06_2000: Median household income $","v_CA06_1988: Household income in 2005 of private households - 20% sample data","v_CA06_1989: Under $10,000","v_CA06_1990: $10,000 to $19,999","v_CA06_1991: $20,000 to $29,999","v_CA06_1992: $30,000 to $39,999","v_CA06_1993: $40,000 to $49,999","v_CA06_1994: $50,000 to $59,999","v_CA06_1995: $60,000 to $69,999","v_CA06_1996: $70,000 to $79,999","v_CA06_1997: $80,000 to $89,999","v_CA06_1998: $90,000 to $99,999","v_CA06_1999: $100,000 and over","v_CA06_2054: Average value of dwelling $","v_CA06_2060: Tenant one-family households without additional persons spending 30% or more of household income on shelter costs","v_CA06_2063: Owner one-family households without additional persons spending 30% or more of household income on shelter costs","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings","v_CA06_1303: Total visible minority population","v_CA06_1302: Total population by visible minority groups - 20% sample data","v_CA06_1254: University certificate, diploma or degree","v_CA06_103: Rented","v_CA06_102: Owned","v_CA06_101: Total number of occupied private dwellings by housing tenure - 20% sample data","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data","v_CA06_451: Total - Mobility status 1 year ago - 20% sample data","v_CA06_453: Movers","v_CA06_455: Migrants","v_CA06_456: Internal migrants","v_CA06_457: Intraprovincial migrants","v_CA06_458: Interprovincial migrants","v_CA06_459: External migrants"
"1","9330001.01","CT","Vancouver",1.04441,6259,2292,2250,"59933","59","5915022","5915",55179,2250,90,215,205,235,300,205,185,130,125,145,410,411520,140,175,995,3210,6085,1325,995,1255,2250,3415,6045,450,165,90,70,25,70
"2","9330001.02","CT","Vancouver",2.07433,4616,1775,1698,"59933","59","5915022","5915",57724,1695,90,140,135,220,110,195,125,100,120,160,310,417005,95,180,560,2940,4530,1305,560,1140,1695,2605,4465,770,160,110,110,0,50
"3","9330002.01","CT","Vancouver",2.04952,5713,2496,2390,"59933","59","5915022","5915",53029,2390,180,205,180,295,255,215,235,145,75,135,470,493110,140,225,895,3430,5710,1480,895,1490,2390,3475,5650,905,455,355,265,90,100
"4","9330002.02","CT","Vancouver",1.65656,7889,2717,2573,"59933","59","5915022","5915",56726,2570,115,285,215,315,180,235,200,145,185,85,605,608483,170,240,805,5675,7695,1615,805,1765,2570,4350,7670,1100,405,215,185,30,190
"5","9330003.01","CT","Vancouver",0.5394,3667,1158,1096,"59933","59","5915022","5915",52873,1100,45,110,125,135,100,110,130,80,55,20,185,564002,80,150,380,3225,3665,630,385,710,1095,1980,3635,565,235,80,55,20,155
"6","9330003.02","CT","Vancouver",1.19505,4548,1364,1250,"59933","59","5915022","5915",53240,1245,120,95,120,130,145,110,145,90,75,35,175,562255,100,175,485,3970,4410,705,490,760,1250,2455,4335,810,230,105,70,40,130
"7","9330004.01","CT","Vancouver",1.62457,4233,1471,1382,"59933","59","5915022","5915",56607,1380,85,125,145,140,150,100,105,95,120,40,280,591682,65,105,465,3085,3975,1075,465,915,1380,2165,3960,490,220,105,90,10,110
"8","9330004.02","CT","Vancouver",1.25734,5406,1702,1537,"59933","59","5915022","5915",54245,1540,120,80,180,145,160,220,165,110,85,90,185,610643,115,190,650,4780,5395,945,650,885,1535,2965,5330,1065,375,160,120,45,210
"9","9330005.00","CT","Vancouver",1.56517,7451,4376,4140,"59933","59","5915022","5915",33810,4140,550,600,620,715,590,290,295,155,135,80,110,270683,560,70,3665,3925,7450,2415,3670,470,4140,5215,7365,1990,955,490,315,180,460
"10","9330006.01","CT","Vancouver",0.91503,4710,1702,1623,"59933","59","5915022","5915",49804,1620,110,160,175,225,140,115,125,115,25,55,380,712075,110,205,470,3510,4700,1300,470,1150,1620,2705,4675,585,245,120,105,15,125
"11","9330006.02","CT","Vancouver",1.07638,5373,1864,1768,"59933","59","5915022","5915",50894,1770,140,225,160,205,135,115,120,85,85,75,405,695454,210,235,660,3825,5070,1435,665,1105,1770,2870,5030,985,495,245,125,120,250
"12","9330007.01","CT","Vancouver",2.84475,5158,1950,1890,"59933","59","5915022","5915",64181,1890,85,230,145,175,135,105,115,95,95,75,625,889770,35,230,530,2320,5155,1560,530,1360,1890,2830,5120,675,260,120,95,25,140
"13","9330007.02","CT","Vancouver",1.43,3692,1199,1165,"59933","59","5915022","5915",82915,1165,50,90,65,85,65,90,60,50,40,55,505,1348063,85,155,290,1940,3690,1340,290,870,1160,2035,3655,740,290,105,70,40,180
"14","9330008.01","CT","Musqueam 2",3.2171,1371,507,458,"59933","59","5915803","5915",57606,455,45,50,35,35,30,30,25,20,20,25,135,0,0,0,0,235,1365,235,95,290,460,680,1350,195,100,70,60,10,30
"15","9330008.02","CT","Vancouver",3.75308,4293,1548,1477,"59933","59","5915022","5915",98658,1480,80,40,75,80,85,85,110,45,70,85,720,1203707,55,165,190,1335,4290,1460,190,1290,1480,2180,4255,590,195,115,80,40,75
"16","9330009.00","CT","Vancouver",1.66866,7473,3407,3217,"59933","59","5915022","5915",49012,3215,320,270,395,340,295,215,240,135,105,120,785,892971,300,285,1525,3635,7470,2655,1525,1690,3215,4150,7410,1515,690,295,190,100,400
"17","9330010.01","CT","Vancouver",1.38768,5169,2098,1984,"59933","59","5915022","5915",51091,1985,205,265,120,205,165,190,135,95,65,60,480,823641,255,265,725,3960,5165,1595,725,1260,1985,2710,5130,800,325,115,85,25,210
"18","9330010.02","CT","Vancouver",1.36786,4737,1669,1614,"59933","59","5915022","5915",57673,1615,115,115,200,205,105,105,75,95,65,40,505,1099989,265,200,685,3545,4620,1465,685,925,1615,2450,4595,715,255,90,75,15,165
"19","9330011.00","CT","Vancouver",1.63421,6624,2390,2222,"59933","59","5915022","5915",49346,2225,150,275,265,225,200,200,125,170,110,75,420,610360,165,185,985,5350,6625,1250,980,1235,2220,3515,6555,1050,300,140,120,25,160
"20","9330012.00","CT","Vancouver",1.54649,7797,2903,2693,"59933","59","5915022","5915",55201,2690,175,175,310,270,250,285,215,220,160,100,525,636284,175,355,980,5340,7785,2035,975,1715,2690,4435,7690,995,240,130,90,40,110
"21","9330013.01","CT","Vancouver",1.15459,6132,2130,1973,"59933","59","5915022","5915",50199,1970,125,255,225,195,180,190,150,130,120,90,305,559221,80,225,695,4810,6125,1060,690,1280,1970,3345,6035,805,230,85,60,20,145
"22","9330013.02","CT","Vancouver",1.10752,8341,2684,2499,"59933","59","5915022","5915",49617,2495,160,285,315,290,205,250,185,200,80,100,425,597775,175,285,940,7330,8340,1365,940,1560,2495,4450,8220,1245,480,200,175,30,280
"23","9330014.01","CT","Vancouver",0.50785,2763,915,865,"59933","59","5915022","5915",49988,880,25,90,130,105,90,60,95,75,60,45,110,631938,90,90,315,2420,2745,515,315,560,880,1580,2725,360,75,30,25,10,45
"24","9330014.02","CT","Vancouver",0.81187,5601,1901,1823,"59933","59","5915022","5915",38063,1810,130,275,275,255,155,110,90,120,50,65,290,586609,130,185,770,4675,5600,680,770,1040,1810,2930,5550,825,270,125,60,65,140
"25","9330015.01","CT","Vancouver",0.94123,4773,1463,1403,"59933","59","5915022","5915",60918,1400,40,80,125,140,155,145,70,100,105,95,340,637744,60,135,290,3925,4765,865,285,1120,1400,2555,4710,715,250,135,120,25,110
"26","9330015.02","CT","Vancouver",1.34244,5998,2085,1994,"59933","59","5915022","5915",46966,2165,145,360,220,240,165,145,135,80,110,125,435,622103,130,145,905,4135,5890,965,910,1255,2160,2930,5840,860,165,90,70,20,75
"27","9330016.01","CT","Vancouver",0.68672,5061,1780,1680,"59933","59","5915022","5915",41546,1680,105,180,250,255,200,140,110,95,55,60,230,532201,110,205,795,4005,5055,945,795,885,1680,2800,4995,655,365,100,50,50,265
"28","9330016.03","CT","Vancouver",0.66916,9244,4221,3822,"59933","59","5915022","5915",39980,3825,540,555,360,460,435,365,275,185,190,135,320,339103,270,450,1800,7535,9240,2400,1805,2020,3825,5335,9135,2270,875,525,330,190,350
"29","9330016.04","CT","Vancouver",0.94969,7079,2537,2421,"59933","59","5915022","5915",49520,2420,220,205,250,205,360,255,205,110,145,105,375,432127,125,275,780,5405,7060,1270,785,1640,2420,4100,6990,1090,400,220,170,50,180
"30","9330017.01","CT","Vancouver",1.16491,6826,2289,2130,"59933","59","5915022","5915",48677,2130,80,195,220,375,215,135,155,160,125,85,375,597114,145,215,720,6000,6820,1185,715,1415,2130,3770,6720,905,195,95,70,25,105
"31","9330017.02","CT","Vancouver",0.85392,6369,2133,2026,"59933","59","5915022","5915",48279,2025,150,245,245,195,200,160,135,165,115,80,315,489073,130,270,680,5050,6320,1030,680,1345,2025,3525,6265,1150,340,175,160,15,160
"32","9330018.01","CT","Vancouver",0.91813,6716,2250,2097,"59933","59","5915022","5915",48859,2095,90,200,350,235,190,175,135,160,165,65,340,545608,200,235,740,5405,6705,1140,745,1355,2095,3710,6650,1030,195,115,90,25,75
"33","9330018.02","CT","Vancouver",0.99323,6537,2332,2181,"59933","59","5915022","5915",59304,2180,70,130,235,170,220,275,165,210,125,85,485,570080,110,210,715,4560,6525,1390,715,1465,2180,3770,6480,845,290,180,145,40,110
"34","9330019.00","CT","Vancouver",1.88891,5265,2129,1985,"59933","59","5915022","5915",51883,1985,130,255,240,165,170,120,125,140,150,65,420,623525,125,160,805,2885,5145,1400,805,1180,1985,2885,5085,820,185,50,25,25,130
"35","9330020.00","CT","Vancouver",1.39427,2561,906,857,"59933","59","5915022","5915",61741,860,65,55,85,65,65,90,60,25,15,35,300,880442,35,115,155,1490,2230,730,155,705,855,1160,2185,190,70,35,20,15,30
"36","9330021.00","CT","Vancouver",2.20247,4041,1344,1264,"59933","59","5915022","5915",149881,1265,30,30,35,40,65,30,60,25,70,30,850,1667072,20,110,115,1330,4035,1625,120,1150,1265,2095,4000,585,235,115,90,20,120
"37","9330022.00","CT","Vancouver",0.32064,3256,1777,1678,"59933","59","5915022","5915",43225,1675,125,255,185,165,180,165,120,85,60,55,280,647072,270,95,1120,1390,3255,1040,1115,565,1675,1615,3225,885,320,65,30,35,255
"38","9330023.00","CT","Vancouver",1.19867,4454,1456,1400,"59933","59","5915022","5915",84435,1385,95,80,125,80,75,100,75,40,55,60,595,1017450,55,215,240,1785,4370,1580,235,1150,1385,2340,4320,635,265,100,40,60,165
"39","9330024.00","CT","Vancouver",1.70711,6030,2127,2011,"59933","59","5915022","5915",96959,2010,45,90,65,135,180,100,110,90,125,85,970,1044719,60,225,275,1800,6030,2425,275,1730,2010,3220,5955,430,235,190,60,130,45
"40","9330025.00","CT","Vancouver",2.01171,7245,2753,2610,"59933","59","5915022","5915",79798,2610,100,205,135,185,150,185,135,220,115,80,1100,898547,175,305,640,1845,7155,2695,635,1970,2610,3900,7080,1015,465,250,130,125,215
"41","9330026.00","CT","Vancouver",1.26789,4882,1878,1773,"59933","59","5915022","5915",65355,1770,90,180,140,185,140,95,100,75,85,55,630,1009312,55,230,465,2120,4880,1555,470,1310,1775,2605,4830,600,195,85,35,50,110
"42","9330027.00","CT","Vancouver",2.33319,8225,3040,2857,"59933","59","5915022","5915",59827,2860,235,290,215,245,230,220,150,125,135,70,950,916210,175,505,575,4585,8045,2740,575,2285,2860,4150,7990,1490,710,345,280,70,365
"43","9330028.00","CT","Vancouver",1.45895,3188,1273,1188,"59933","59","5915022","5915",72405,1190,70,75,130,80,70,80,70,40,30,45,490,1362675,70,235,410,1500,3225,1065,410,775,1190,1775,3210,490,305,270,205,60,40
"44","9330029.00","CT","Vancouver",1.47949,6005,2711,2463,"59933","59","5915022","5915",61266,2465,110,145,215,240,260,255,175,185,120,85,665,710693,165,180,1030,1815,5830,2235,1030,1435,2465,3660,5755,970,495,300,200,100,190
"45","9330030.00","CT","Vancouver",1.49249,6396,2511,2301,"59933","59","5915022","5915",59820,2305,135,190,200,215,210,200,160,220,125,70,575,623385,135,240,800,3275,6370,1800,800,1500,2300,3825,6285,785,285,165,110,55,120
"46","9330031.01","CT","Vancouver",0.87083,5730,2624,2419,"59933","59","5915022","5915",61779,2415,130,195,195,300,155,205,160,135,135,105,700,720114,110,190,1165,1840,5710,2215,1165,1250,2420,3685,5625,915,335,245,140,105,90
"47","9330031.02","CT","Vancouver",0.67949,4424,1825,1657,"59933","59","5915022","5915",52381,1655,65,160,115,190,220,220,100,140,120,80,240,557300,85,185,685,2440,4415,1330,685,970,1655,2735,4375,680,240,170,95,75,65
"48","9330032.00","CT","Vancouver",1.22868,7235,2820,2584,"59933","59","5915022","5915",49432,2585,175,260,325,285,275,270,150,125,155,145,415,541345,145,305,1110,4615,7215,1515,1110,1475,2585,4300,7140,1020,340,135,60,80,200
"49","9330033.00","CT","Vancouver",1.15104,7555,2797,2573,"59933","59","5915022","5915",49367,2575,125,255,310,350,255,320,200,150,145,100,355,542882,230,320,975,5460,7535,1490,975,1595,2575,4370,7405,1165,340,200,155,40,140
"50","9330034.01","CT","Vancouver",0.66044,4802,1661,1553,"59933","59","5915022","5915",48666,1550,55,140,275,90,235,120,115,145,70,35,270,523692,125,175,490,3770,4780,685,490,1060,1550,2675,4710,620,155,95,95,0,65
"51","9330034.02","CT","Vancouver",1.37945,6667,2321,2179,"59933","59","5915022","5915",51670,2180,125,230,245,245,225,170,150,130,160,95,400,549605,170,200,910,4470,6485,1240,905,1270,2180,3715,6400,985,330,165,125,35,165
"52","9330035.01","CT","Vancouver",0.72262,4247,1703,1473,"59933","59","5915022","5915",45295,1470,105,195,225,155,130,130,105,65,125,45,195,548513,105,155,385,3295,4245,695,385,1085,1470,2315,4205,450,195,100,60,40,95
