"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA16_2397: Median total income of households in 2015 ($)","v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data","v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999","v_CA16_2421: $100,000 and over","v_CA16_4895: Median value of dwellings ($)","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data","v_CA16_4863: 1960 or before","v_CA16_3957: Total visible minority population","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_5105: Postsecondary certificate, diploma or degree","v_CA16_4838: Renter","v_CA16_4837: Owner","v_CA16_4836: Total - Private households by tenure - 25% sample data","v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data","v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data","v_CA16_6698: Movers","v_CA16_6704: Migrants","v_CA16_6707: Internal migrants","v_CA16_6710: Intraprovincial migrants","v_CA16_6713: Interprovincial migrants","v_CA16_6716: External migrants"
"1","9330001.01","CT","Vancouver",1.01953,6293,2334,2314,"59933","59","5915022","5915",72141,2315,20,15,30,110,85,85,100,95,105,90,205,185,165,165,135,730,580305,1043,20.6,24.3,954,2330,60,3090,6090,2195,1090,1235,2325,3300,6060,475,120,65,55,15,55
"2","9330001.02","CT","Vancouver",2.02898,5456,2132,2089,"59933","59","5915022","5915",76826,2090,30,25,55,85,70,90,80,80,65,85,145,135,140,135,110,755,600367,1264,20.9,33.3,1476,2075,65,3670,5355,2240,735,1340,2075,3070,5285,815,290,215,155,50,80
"3","9330002.01","CT","Vancouver",2.02909,6150,2631,2507,"59933","59","5915022","5915",72448,2505,60,30,60,95,85,90,100,100,95,115,210,165,160,150,145,840,739622,1171,21.1,41.6,1192,2495,200,3985,6040,2515,1005,1490,2500,3690,5960,840,315,245,185,60,70
"4","9330002.03","CT","Vancouver",0.78516,4077,1497,1292,"59933","59","5915022","5915",77824,1290,35,10,35,55,50,55,50,60,45,40,80,85,60,75,55,495,1647949,1004,20.2,36.6,893,1285,140,3550,4080,1295,465,820,1285,2340,4050,630,315,105,75,25,210
"5","9330002.04","CT","Vancouver",0.84513,4509,1652,1560,"59933","59","5915022","5915",81701,1560,15,25,25,60,60,50,50,70,60,50,95,100,95,90,95,610,850650,1147,23.5,33.6,1203,1570,115,2805,4280,1640,555,1020,1570,2440,4250,545,195,115,60,50,75
"6","9330003.01","CT","Vancouver",0.54316,3714,1210,1080,"59933","59","5915022","5915",73472,1080,25,10,25,35,30,45,50,30,45,40,95,85,85,70,60,350,1503650,1010,32.2,36.5,1540,1070,225,3380,3660,1110,480,590,1075,2025,3625,465,165,50,45,0,115
"7","9330003.02","CT","Vancouver",1.19645,4613,1429,1316,"59933","59","5915022","5915",67840,1315,40,20,30,50,45,70,50,55,55,55,110,100,90,75,60,405,1394934,903,36.7,41.9,1787,1325,260,3975,4440,1290,680,645,1320,2475,4380,860,325,180,150,30,150
"8","9330004.01","CT","Vancouver",1.63291,4925,2537,1928,"59933","59","5915022","5915",59026,1930,165,50,65,110,80,80,70,70,85,70,145,115,100,105,90,535,1203963,1421,34.5,50.6,917,1930,320,3730,4615,1840,810,1115,1925,2560,4565,1320,540,280,205,75,255
"9","9330004.02","CT","Vancouver",1.24706,5652,1847,1689,"59933","59","5915022","5915",70067,1690,50,25,40,50,75,60,80,70,75,60,125,130,125,110,100,515,1400133,948,33.3,30.7,1333,1690,360,4930,5630,1770,835,855,1690,3100,5595,810,315,180,140,40,135
"10","9330005.00","CT","Vancouver",1.59397,7302,4444,4326,"59933","59","5915022","5915",44160,4325,175,95,280,300,255,255,295,270,280,240,490,340,275,215,135,415,340586,937,20.6,45.6,1037,4330,910,3620,7305,3490,3830,495,4325,5095,7225,1375,555,415,285,130,135
"11","9330006.01","CT","Vancouver",0.91749,4699,1784,1687,"59933","59","5915022","5915",67123,1685,55,45,55,60,60,75,80,65,70,60,140,105,90,95,70,570,2000526,1032,30,40.4,1001,1635,405,3405,4540,1810,550,1085,1635,2530,4505,555,235,130,80,50,105
"12","9330006.02","CT","Vancouver",1.09361,5233,1925,1827,"59933","59","5915022","5915",66125,1825,60,45,60,90,80,70,90,55,85,70,130,120,105,110,75,575,1999172,1096,29.4,46.3,947,1880,335,4000,5190,2040,740,1140,1875,2970,5135,775,380,150,100,50,225
"13","9330007.01","CT","Vancouver",2.84304,5543,2373,2157,"59933","59","5915022","5915",73280,2160,110,55,65,100,95,75,90,60,75,70,125,125,110,105,100,800,2397887,1131,30.6,41.8,1207,2130,540,3355,5345,2270,730,1400,2130,2860,5295,915,350,215,160,55,135
"14","9330007.02","CT","Vancouver",1.41849,3452,1256,1153,"59933","59","5915022","5915",99520,1155,45,20,10,30,20,40,40,25,30,40,55,55,70,45,45,575,3493813,1656,39.4,47.2,1782,1185,395,2580,3650,1380,180,1000,1180,1815,3625,610,265,80,65,10,185
"15","9330008.01","CT","Musqueam 2",3.19919,1652,615,578,"59933","59","5915803","5915",81408,580,40,10,20,15,15,20,20,10,20,20,45,30,30,35,20,235,0,0,0,0,0,580,20,300,1650,520,140,415,580,840,1635,195,60,30,25,10,30
"16","9330008.02","CT","Vancouver",3.74406,4200,1619,1495,"59933","59","5915022","5915",125184,1495,40,25,20,35,30,35,25,40,35,35,55,65,70,65,40,865,3002444,1950,24.1,60.6,1255,1490,580,1765,4235,1750,170,1320,1490,2125,4200,565,180,75,55,20,110
"17","9330009.00","CT","Vancouver",1.6647,7103,3440,3199,"59933","59","5915022","5915",60544,3200,155,65,110,150,145,155,160,120,155,120,235,230,160,125,135,980,2206738,1255,37.5,49.5,1372,3200,1055,4080,7085,2990,1575,1625,3195,3730,7055,1150,445,150,100,45,290
"18","9330010.01","CT","Vancouver",1.41537,5352,2389,2212,"59933","59","5915022","5915",58197,2210,105,60,90,170,85,115,110,105,70,75,140,125,110,90,75,690,1505397,1337,39,55.6,1198,2280,390,4080,5645,2215,820,1460,2280,2885,5605,910,390,230,170,60,165
"19","9330010.02","CT","Vancouver",1.39303,4741,1760,1647,"59933","59","5915022","5915",71467,1650,65,45,55,60,50,80,70,70,65,60,90,90,95,80,75,585,3006463,1648,39.5,53.3,1502,1580,390,3455,4345,1660,765,815,1575,2295,4325,530,240,75,55,20,165
"20","9330011.00","CT","Vancouver",1.5728,6615,2642,2310,"59933","59","5915022","5915",63334,2310,60,40,70,135,110,120,105,95,95,105,185,130,140,130,100,690,1499413,950,28.1,41.2,822,2310,440,5470,6615,2285,1025,1285,2310,3560,6555,1145,450,220,175,40,235
"21","9330012.00","CT","Vancouver",1.54279,8102,3337,2904,"59933","59","5915022","5915",71851,2905,95,35,80,100,110,100,120,130,105,120,215,195,190,165,135,1015,1799537,1092,28.2,40.5,1105,2905,830,5685,8080,3450,1170,1735,2905,4535,8030,1370,530,280,155,125,245
"22","9330013.01","CT","Vancouver",1.14038,6485,2398,2155,"59933","59","5915022","5915",65978,2155,45,25,80,110,105,100,95,105,95,85,160,145,140,115,105,650,1451334,1001,24.8,38.8,743,2155,395,5355,6480,2015,985,1170,2155,3480,6420,1020,390,150,105,45,240
"23","9330013.03","CT","Vancouver",0.62391,4981,1727,1562,"59933","59","5915022","5915",63872,1560,25,15,35,80,80,75,75,85,75,70,120,115,85,80,75,480,1502316,904,29,37.4,1159,1540,270,4170,4950,1465,695,845,1545,2625,4900,585,260,135,105,30,130
"24","9330013.04","CT","Vancouver",0.47728,3635,1243,1102,"59933","59","5915022","5915",71782,1100,20,25,20,40,45,30,50,35,45,50,95,85,75,75,50,365,1347364,1002,25.6,31.1,777,1120,225,3405,3665,980,455,670,1120,1965,3640,395,130,65,40,25,65
"25","9330014.01","CT","Vancouver",0.50408,3084,1117,1015,"59933","59","5915022","5915",64128,1015,20,10,20,40,35,45,55,65,50,50,80,100,65,60,45,285,1299808,972,29.4,30.4,727,1025,135,2750,3075,860,345,680,1025,1745,3050,340,85,35,25,10,50
"26","9330014.02","CT","Vancouver",0.80703,5980,2232,2056,"59933","59","5915022","5915",53029,2055,50,35,85,170,115,130,115,105,85,95,170,120,115,105,80,485,1349035,773,24.3,36.4,710,2055,340,5290,5965,1500,925,1135,2055,3235,5910,505,140,65,55,10,75
"27","9330015.01","CT","Vancouver",0.93135,5485,2017,1734,"59933","59","5915022","5915",75849,1730,55,30,25,45,55,65,70,70,65,80,135,95,110,100,90,645,1600369,1003,25.9,27.3,920,1730,330,4800,5475,1825,490,1240,1735,2885,5440,655,295,165,85,85,125
"28","9330015.02","CT","Vancouver",1.34265,6246,2319,2052,"59933","59","5915022","5915",68096,2055,50,30,95,90,80,90,90,90,55,85,145,150,120,140,95,645,1507123,1052,25.1,42.1,873,2055,470,4940,5925,1835,815,1235,2055,3215,5880,690,215,135,110,25,80
"29","9330016.01","CT","Vancouver",0.67646,5257,1918,1767,"59933","59","5915022","5915",59959,1770,25,30,70,135,65,90,90,80,75,75,145,155,100,85,90,450,1392813,951,26.5,34.5,865,1765,275,4290,5175,1645,835,930,1765,2955,5120,595,225,100,80,15,125
"30","9330016.04","CT","Vancouver",0.93633,7370,2846,2622,"59933","59","5915022","5915",65664,2620,70,30,75,130,90,110,120,120,120,115,205,200,175,180,145,740,999492,1024,27.2,45.9,1132,2620,390,5905,7340,2560,905,1715,2625,4345,7290,910,495,265,180,85,225
"31","9330016.05","CT","Vancouver",0.54272,4764,2005,1815,"59933","59","5915022","5915",58325,1815,75,25,65,120,85,90,85,75,85,75,160,155,125,110,110,380,1196089,1075,32.2,39.9,1445,1785,320,3900,4740,1685,1070,720,1785,2855,4715,715,300,145,125,20,155
"32","9330016.06","CT","Vancouver",0.12378,4889,3239,2448,"59933","59","5915022","5915",55723,2445,160,65,85,130,95,110,115,105,115,115,240,210,185,155,130,430,349487,1284,34.5,43.1,1171,2475,0,3775,4915,2485,1095,1380,2475,3260,4840,1070,485,265,185,80,220
"33","9330017.01","CT","Vancouver",1.15993,7535,2909,2647,"59933","59","5915022","5915",65067,2650,65,45,40,90,120,110,145,115,110,135,250,205,200,140,150,725,1394832,1103,25.9,36.4,781,2645,395,6240,7525,2440,1145,1505,2650,4285,7455,1030,370,190,105,80,185
"34","9330017.02","CT","Vancouver",0.85474,6632,2482,2291,"59933","59","5915022","5915",63936,2290,35,45,70,125,105,110,90,105,100,105,185,185,155,145,145,590,1097845,990,27,48,1114,2300,415,5610,6770,2000,880,1420,2300,3885,6710,1140,450,235,200,40,210
"35","9330018.01","CT","Vancouver",0.90264,6933,2535,2300,"59933","59","5915022","5915",65609,2300,45,25,40,65,85,125,135,125,115,125,165,170,160,150,125,650,1301414,1004,26.7,36,793,2305,470,5870,7155,2120,1010,1295,2305,4075,7095,975,370,255,165,90,115
"36","9330018.02","CT","Vancouver",0.98795,6958,2668,2402,"59933","59","5915022","5915",74752,2405,50,30,55,85,65,90,100,95,105,90,205,150,160,135,140,835,1302297,1179,24.6,40.5,1290,2400,800,4720,6925,2545,980,1420,2400,3970,6840,1010,390,175,115,60,215
"37","9330019.00","CT","Vancouver",1.84676,4882,2160,1924,"59933","59","5915022","5915",70617,1925,45,40,65,110,70,75,65,75,80,60,135,130,115,90,85,685,1698207,1128,23.3,40.1,979,1910,605,2595,4740,2010,735,1180,1915,2650,4710,845,275,125,70,55,150
"38","9330020.00","CT","Vancouver",1.39343,2700,912,842,"59933","59","5915022","5915",99968,840,30,15,25,20,35,20,25,20,20,30,45,40,40,40,30,420,2500065,1800,29.2,46.9,1235,815,250,1445,2135,850,160,655,815,1125,2115,205,90,35,25,10,55
"39","9330021.00","CT","Vancouver",2.21041,3684,1370,1230,"59933","59","5915022","5915",143155,1230,45,20,30,25,30,15,30,25,25,20,40,45,60,50,25,740,3601500,1604,32,46.5,1958,1195,715,1810,3570,1400,210,975,1190,1690,3555,540,170,45,20,30,125
"40","9330022.00","CT","Vancouver",0.31932,3062,1792,1681,"59933","59","5915022","5915",56544,1685,90,45,55,105,110,80,80,60,85,65,110,130,120,95,70,390,1000097,1476,25.6,56.6,991,1705,390,1320,3130,1245,1110,595,1700,1490,3120,565,195,150,55,95,50
"41","9330023.00","CT","Vancouver",1.20023,4227,1558,1367,"59933","59","5915022","5915",111360,1370,55,15,40,20,30,30,30,35,25,25,70,50,60,70,65,745,3006649,1653,27.5,41,1287,1375,665,1860,4030,1765,305,1070,1370,2075,3995,590,230,105,65,40,125
"42","9330024.00","CT","Vancouver",1.7023,5787,2241,1986,"59933","59","5915022","5915",116395,1990,70,30,40,35,50,50,40,50,55,50,100,85,90,70,65,1105,3014636,1699,28.7,49.3,1306,1990,995,2395,5790,2435,365,1620,1985,2865,5765,790,315,120,90,30,195
"43","9330025.00","CT","Vancouver",1.98912,7420,2993,2692,"59933","59","5915022","5915",92818,2690,90,65,85,80,90,85,90,80,65,85,135,130,110,125,110,1270,2790945,1550,31.8,45.5,1326,2685,1275,2715,7270,3015,730,1955,2685,3555,7245,935,385,225,115,110,165
"44","9330026.00","CT","Vancouver",1.25934,4675,1926,1760,"59933","59","5915022","5915",82432,1760,75,40,25,95,80,65,55,60,50,45,110,80,85,75,60,765,3008054,1064,37.6,54.1,1293,1770,655,2525,4715,1905,485,1280,1765,2415,4685,670,255,130,50,75,125
"45","9330027.01","CT","Vancouver",1.27204,4074,1561,1434,"59933","59","5915022","5915",85504,1435,60,45,25,35,30,40,70,45,45,50,90,75,75,80,60,620,3001871,2099,39.9,35,1289,1470,310,2600,4060,1625,205,1265,1470,2115,4050,655,260,130,85,40,125
"46","9330027.02","CT","Vancouver",1.03066,3787,1541,1387,"59933","59","5915022","5915",67456,1390,100,35,60,60,60,50,55,55,50,40,80,75,75,35,60,500,2307775,1834,42.1,60,1477,1365,265,2410,3570,1540,445,925,1370,1880,3550,535,240,75,65,10,165
"47","9330028.00","CT","Vancouver",1.4746,3063,1284,1163,"59933","59","5915022","5915",98048,1165,35,20,15,35,35,30,25,40,35,30,60,65,65,55,45,575,3490719,1275,31.5,35.6,1733,1155,595,1710,3030,1395,440,720,1155,1695,3015,435,185,110,90,20,70
"48","9330029.00","CT","Vancouver",1.50157,6798,3011,2779,"59933","59","5915022","5915",83861,2780,65,35,65,85,95,85,90,85,100,90,200,180,165,145,135,1170,1944662,1359,25.5,41.5,1271,2815,1125,2595,6670,3400,1205,1605,2810,4030,6610,1225,365,210,90,120,150
"49","9330030.00","CT","Vancouver",1.45623,6896,2772,2586,"59933","59","5915022","5915",89549,2585,40,30,50,60,85,75,100,75,95,70,185,150,130,150,145,1145,1552278,1364,20.2,42.1,1215,2600,1060,3075,6885,3175,985,1610,2600,4100,6815,900,295,165,125,45,130
"50","9330031.01","CT","Vancouver",0.89854,6156,2805,2546,"59933","59","5915022","5915",86144,2545,50,25,65,55,85,90,75,90,95,80,170,175,145,135,125,1105,2001711,1248,21.7,39.7,1456,2525,1430,2180,6240,3195,1235,1290,2525,3850,6140,1010,300,200,125,75,100
"51","9330031.02","CT","Vancouver",0.69343,4621,1962,1779,"59933","59","5915022","5915",82816,1780,30,25,30,55,45,45,85,70,75,60,115,105,120,95,110,715,1296419,1254,21.3,31.5,1402,1800,675,2005,4500,2100,740,1055,1800,2825,4445,685,250,165,100,70,80
"52","9330032.00","CT","Vancouver",1.24197,9098,3901,3619,"59933","59","5915022","5915",72802,3620,70,45,105,135,110,125,140,140,135,145,290,295,250,215,180,1240,1097960,1206,24,39.1,1493,3615,1180,4670,9015,4005,1620,2000,3615,5740,8885,1420,400,255,100,150,145
"53","9330033.01","CT","Vancouver",0.68227,5187,2072,1914,"59933","59","5915022","5915",81636,1915,35,30,40,55,60,70,70,65,65,75,120,130,130,135,100,735,1201241,1205,22.4,37.1,1456,1925,625,3120,5395,2240,660,1270,1930,3250,5345,695,255,150,100,50,110
"54","9330033.02","CT","Vancouver",0.44716,3136,1143,1020,"59933","59","5915022","5915",70827,1020,20,10,20,40,40,35,40,50,50,40,90,65,75,55,55,330,1247649,949,32,42.9,1564,1010,225,2235,2910,975,385,620,1010,1635,2880,450,175,65,40,25,110
"55","9330034.01","CT","Vancouver",0.67336,5221,1932,1784,"59933","59","5915022","5915",64128,1785,35,20,50,80,70,100,95,75,80,85,150,140,130,85,90,505,1201082,997,34,39.1,902,1780,430,3880,4950,1470,765,1015,1780,2805,4935,770,215,115,75,40,100
"56","9330034.02","CT","Vancouver",1.37365,7294,2650,2487,"59933","59","5915022","5915",72290,2485,50,45,80,115,100,95,110,105,110,90,155,160,165,150,120,845,1199845,1002,26.6,32.7,1335,2485,705,4365,7020,2495,1070,1415,2485,4080,6940,965,230,115,65,50,115
"57","9330035.01","CT","Vancouver",0.72093,4298,1701,1535,"59933","59","5915022","5915",68693,1535,40,35,50,60,60,65,65,75,60,45,115,110,90,105,70,485,1296500,1001,23.4,39.8,681,1525,370,2850,4105,1465,665,860,1525,2375,4050,540,230,70,60,15,155
"58","9330035.02","CT","Vancouver",1.54494,7002,2845,2634,"59933","59","5915022","5915",64922,2630,50,35,75,180,135,100,120,120,115,115,190,175,190,155,145,730,1199527,983,22.8,31,743,2635,550,4165,6900,2390,1300,1335,2635,3905,6860,660,170,85,60,20,90
"59","9330036.01","CT","Vancouver",1.36961,6222,2215,2087,"59933","59","5915022","5915",66011,2090,40,35,50,85,80,95,90,95,100,90,175,165,150,95,100,640,1298746,964,28.9,44.4,780,2090,410,5060,6125,1920,755,1330,2085,3470,6070,750,265,130,105,25,140
"60","9330036.02","CT","Vancouver",1.46931,6140,2225,2046,"59933","59","5915022","5915",73813,2045,40,15,30,80,70,80,85,90,90,90,160,150,110,140,110,710,1431035,1001,28.6,36,1033,2045,500,4655,6115,1845,695,1345,2050,3505,6080,760,305,210,185,25,100
"61","9330037.01","CT","Vancouver",0.60169,4960,2215,2017,"59933","59","5915022","5915",70869,2020,45,35,65,70,70,75,75,95,90,85,160,130,105,105,105,700,1203761,1149,19.4,43,1577,2010,985,1805,4800,2360,1080,930,2010,3190,4770,790,230,150,115,40,80
"62","9330037.02","CT","Vancouver",0.51895,3680,1694,1599,"59933","59","5915022","5915",64192,1600,40,25,75,130,70,50,55,60,75,65,100,120,110,90,85,460,1002925,1099,24.2,38.8,1535,1600,615,1380,3700,1825,980,620,1600,2455,3665,635,265,175,100,80,85
"63","9330038.00","CT","Vancouver",0.58903,5817,3024,2899,"59933","59","5915022","5915",67776,2900,55,50,100,120,135,115,110,110,145,120,245,190,210,190,150,860,598328,1089,22.4,33.9,1676,2905,725,1865,5540,3235,1900,1005,2905,4220,5480,1180,390,285,185,100,100
"64","9330039.01","CT","Vancouver",0.71415,5896,3578,3369,"59933","59","5915022","5915",67191,3370,85,60,130,150,135,115,135,130,145,135,305,240,235,215,165,995,802320,1111,23,38.2,1721,3365,1260,1400,5880,3695,2370,1000,3370,4410,5820,1195,380,250,130,125,130
"65","9330039.02","CT","Vancouver",0.6033,5794,3098,2986,"59933","59","5915022","5915",70459,2990,85,45,85,115,120,115,100,105,120,125,240,230,210,190,145,960,600341,1308,23.3,38.8,1285,2985,265,2000,5425,3240,1500,1485,2985,3695,5350,1040,380,285,140,140,95
"66","9330040.01","CT","Vancouver",0.27049,4106,2990,2844,"59933","59","5915022","5915",53606,2845,125,60,110,175,135,145,125,130,160,145,285,235,200,160,130,510,500472,1146,21.3,45.7,1331,2835,935,1075,4120,2670,2300,540,2840,3195,4095,1020,410,325,190,140,85
"67","9330040.02","CT","Vancouver",0.3166,4601,3003,2953,"59933","59","5915022","5915",59975,2955,90,65,100,120,130,120,135,130,165,150,275,245,235,180,145,665,550122,1153,24.8,38,872,2995,1005,1065,4540,2740,2255,745,3000,3280,4510,1000,385,315,225,95,75
"68","9330041.01","CT","Vancouver",0.38099,4450,2868,2774,"59933","59","5915022","5915",64402,2770,90,50,85,90,115,90,100,110,135,155,245,255,210,185,165,695,598260,1342,21.3,41.3,1056,2740,790,860,4275,2590,1885,850,2735,3020,4245,1065,335,240,130,110,95
