"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA06_101: Total number of occupied private dwellings by housing tenure - 20% sample data","v_CA06_102: Owned","v_CA06_103: Rented","v_CA06_109: Total number of occupied private dwellings by period of construction - 20% sample data","v_CA06_110: Period of construction, before 1946","v_CA06_111: Period of construction, 1946 to 1960","v_CA06_451: Total - Mobility status 1 year ago - 20% sample data","v_CA06_453: Movers","v_CA06_454: Non-migrants","v_CA06_455: Migrants","v_CA06_456: Internal migrants","v_CA06_457: Intraprovincial migrants","v_CA06_458: Interprovincial migrants","v_CA06_459: External migrants","v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1240: University certificate, diploma or degree","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1254: University certificate, diploma or degree","v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data","v_CA06_1268: University certificate, diploma or degree","v_CA06_1302: Total population by visible minority groups - 20% sample data","v_CA06_1303: Total visible minority population","v_CA06_1583: Median income $","v_CA06_1988: Household income in 2005 of private households - 20% sample data","v_CA06_1989: Under $10,000","v_CA06_1990: $10,000 to $19,999","v_CA06_1991: $20,000 to $29,999","v_CA06_1992: $30,000 to $39,999","v_CA06_1993: $40,000 to $49,999","v_CA06_1994: $50,000 to $59,999","v_CA06_1995: $60,000 to $69,999","v_CA06_1996: $70,000 to $79,999","v_CA06_1997: $80,000 to $89,999","v_CA06_1998: $90,000 to $99,999","v_CA06_1999: $100,000 and over","v_CA06_2000: Median household income $","v_CA06_2001: Average household income $","v_CA06_2002: Standard error of average household income $","v_CA06_2048: Total number of non-farm, non-reserve private dwellings occupied by usual residents - 20% sample data","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings","v_CA06_2050: Average gross rent $","v_CA06_2051: Tenant-occupied households spending 30% or more of household income on gross rent","v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2054: Average value of dwelling $","v_CA06_2055: Average owner major payments $","v_CA06_2056: Owner households spending 30% or more of household income on owner's major payments"
"1","5350001.00","CT","Toronto",6.62223,571,245,231,"35535","35","3520005","3520",235,170,60,230,165,10,545,130,130,0,0,0,0,0,40,0,385,145,55,10,570,235,27156,230,15,10,10,35,20,25,20,15,15,15,50,54355,71639,7298,230,60,1034,25,170,317361,1293,50
"2","5350002.00","CT","Toronto",3.26165,627,273,262,"35535","35","3520005","3520",260,225,35,260,170,50,630,35,20,10,0,10,10,0,90,15,380,200,65,25,625,10,30200,260,0,30,10,35,10,10,40,15,20,25,70,70254,83393,7473,265,35,1138,10,225,206000,761,30
"3","5350003.00","CT","Toronto",0.93043,0,1,1,"35535","35","3520005","3520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","5350004.00","CT","Toronto",0.3439,6861,3614,3335,"35535","35","3520005","3520",3335,260,3070,3335,1200,800,6520,1570,1055,515,240,215,25,270,730,120,4435,1555,520,95,6615,3415,17552,3335,360,785,665,430,295,185,175,135,95,50,150,27265,37194,1263,3335,3075,783,1690,260,432564,1643,135
"5","5350005.00","CT","Toronto",0.37841,5089,2575,2413,"35535","35","3520005","3520",2415,235,2180,2410,705,405,4775,795,615,180,70,65,10,105,565,55,2915,1045,550,50,4800,2855,16588,2415,415,660,350,220,155,140,140,90,45,65,135,23244,37977,1979,2410,2180,681,1105,230,410776,1464,100
"6","5350006.00","CT","Toronto",0.01317,156,0,0,"35535","35","3520005","3520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","5350007.01","CT","Toronto",0.19965,3615,1766,1643,"35535","35","3520005","3520",1645,230,1410,1645,570,300,3245,575,400,180,65,55,10,110,335,25,2275,940,230,30,3280,1685,21275,1640,150,285,190,300,240,100,70,95,20,60,130,36981,45730,2124,1645,1415,795,660,230,429945,1788,80
"8","5350007.02","CT","Toronto",0.43399,5292,2771,2551,"35535","35","3520005","3520",2550,130,2420,2550,575,940,5055,1205,815,390,190,150,40,195,645,50,3335,1135,380,50,5145,3055,18452,2550,410,525,345,405,240,160,145,110,70,45,90,29874,37219,1501,2550,2420,760,1240,130,364387,1728,40
"9","5350008.00","CT","Toronto",2.11154,3821,2417,2103,"35535","35","3520005","3520",2100,1035,1065,2100,90,10,3720,1195,930,265,190,145,50,75,345,40,2825,1575,165,45,3780,1480,38879,2105,125,195,150,185,125,185,270,185,130,70,475,62374,71138,3184,2100,1065,1043,415,1035,283928,1627,390
"10","5350009.00","CT","Toronto",0.1022,264,7,7,"35535","35","3520005","3520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","5350010.01","CT","Toronto",0.26583,4218,2450,2347,"35535","35","3520005","3520",2350,1870,475,2345,330,25,4160,1125,910,220,160,130,25,60,285,55,3420,2070,160,35,4215,1210,46525,2345,90,140,195,105,155,150,200,200,200,135,770,76618,95369,6975,2345,475,926,165,1875,322417,1685,545
"12","5350010.02","CT","Toronto",0.54806,6524,3895,3561,"35535","35","3520005","3520",3560,2170,1395,3560,720,170,6350,1420,1075,345,235,170,60,110,540,135,4885,2645,470,95,6400,2050,33517,3560,235,350,280,375,260,320,390,240,200,200,700,58189,70573,2407,3560,1395,1039,635,2165,299463,1432,780
"13","5350011.00","CT","Toronto",0.97852,4642,3317,2922,"35535","35","3520005","3520",2920,1710,1215,2920,285,60,4560,1615,1025,590,405,275,135,185,445,225,3860,2660,125,30,4605,1340,46437,2920,195,225,190,170,270,250,235,155,185,180,870,65419,93068,4002,2920,1215,1283,530,1710,354900,1691,570
"14","5350012.00","CT","Toronto",1.11587,8053,5720,5019,"35535","35","3520005","3520",5020,2640,2375,5020,10,10,7985,3295,2065,1230,945,700,245,285,930,405,6330,4490,455,210,8055,3290,43745,5020,320,260,355,400,440,425,470,415,365,210,1365,66013,95006,5543,5015,2375,1460,1035,2640,323818,1605,1030
"15","5350013.00","CT","Toronto",0.76435,6315,4253,3846,"35535","35","3520005","3520",3845,1720,2125,3845,55,20,6295,1120,665,455,290,220,65,165,345,105,4450,2865,1015,465,6315,2475,40186,3845,335,395,270,275,260,260,330,225,200,200,1095,63090,111298,13067,3845,2120,1192,895,1725,342381,1561,545
