"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"1","5350001.00","CT","Toronto",6.62211,604,283,264,"35535","35","3520005","3520","0.368",160,78.1,100,0,1316,424931,1065,1330,421889,1108
"2","5350002.00","CT","Toronto",3.27377,657,296,290,"35535","35","3520005","3520","0.307",210,48.8,55,0,560,250343,1166,975,311119,1203
"3","5350003.00","CT","Toronto",0.94253,673,262,227,"35535","35","3520005","3520","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","5350004.00","CT","Toronto",0.34347,6781,3634,3416,"35535","35","3520005","3520","0.391",220,66.7,3195,13.5,1623,501310,850,1812,569893,860
"5","5350005.00","CT","Toronto",0.37612,5510,3472,2782,"35535","35","3520005","3520","0.321",430,89.5,2350,37.2,1902,383466,804,1873,426977,815
"6","5350006.00","CT","Toronto",0.01288,0,0,0,"35535","35","3520005","3520","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","5350007.01","CT","Toronto",0.19931,3325,1797,1693,"35535","35","3520005","3520","0.289",245,59.2,1445,9.3,1513,585059,856,1866,603671,899
"8","5350007.02","CT","Toronto",0.43657,4962,2691,2477,"35535","35","3520005","3520","0.295",85,64.7,2390,10.9,1333,500926,870,1443,517973,874
"9","5350008.00","CT","Toronto",2.13661,9282,6616,5902,"35535","35","3520005","3520","0.295",3385,90.7,2520,11.9,1744,349405,1441,1779,394667,1415
"10","5350009.00","CT","Toronto",0.10317,271,8,8,"35535","35","3520005","3520","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","5350010.01","CT","Toronto",0.26263,4608,2704,2638,"35535","35","3520005","3520","0.27",2010,85.4,625,19.2,1787,379115,1303,1759,421216,1275
"12","5350010.02","CT","Toronto",0.54735,7113,4320,4094,"35535","35","3520005","3520","0.28",2405,76.9,1690,13.6,1647,359318,1096,1676,426561,1125
"13","5350011.00","CT","Toronto",0.98037,8645,7305,5807,"35535","35","3520005","3520","0.359",3260,83.6,2550,3.9,1794,399734,1517,1893,437367,1521
"14","5350012.01","CT","Toronto",0.41877,5911,4809,3779,"35535","35","3520005","3520","0.332",1885,84.9,1895,0,1632,348193,1530,1655,377159,1569
"15","5350012.02","CT","Toronto",0.70274,10664,7151,6569,"35535","35","3520005","3520","0.249",3580,78.9,2985,1.2,1722,348882,1569,1743,400389,1594
"16","5350013.00","CT","Toronto",0.7611,10601,7227,6504,"35535","35","3520005","3520","0.248",2895,68.7,3605,15,1707,400548,1453,1756,470208,1431
"17","5350014.00","CT","Toronto",0.47266,644,580,410,"35535","35","3520005","3520","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","5350015.00","CT","Toronto",0.28599,3411,2212,2045,"35535","35","3520005","3520","0.341",1175,59.6,870,6.3,1494,389219,1498,1594,419018,1481
