"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2397: Median total income of households in 2015 ($)","v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data","v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999","v_CA16_2421: $100,000 and over","v_CA16_2422: $100,000 to $124,999","v_CA16_2423: $125,000 to $149,999","v_CA16_2424: $150,000 to $199,999","v_CA16_2425: $200,000 and over","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population","v_CA16_4836: Total - Private households by tenure - 25% sample data","v_CA16_4837: Owner","v_CA16_4838: Renter","v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data","v_CA16_4863: 1960 or before","v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_4985: Average total income of households in 2015 ($)","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","v_CA16_5105: Postsecondary certificate, diploma or degree","v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data","v_CA16_6695: Non-movers","v_CA16_6698: Movers","v_CA16_6701: Non-migrants","v_CA16_6704: Migrants","v_CA16_6707: Internal migrants","v_CA16_6710: Intraprovincial migrants","v_CA16_6713: Interprovincial migrants","v_CA16_6716: External migrants"
"1","5350001.00","CT","Toronto",6.62211,595,274,247,"35535","35","3520005","3520",41165,108186,245,5,10,5,10,5,5,5,5,0,5,10,15,10,15,5,130,30,30,30,40,580,185,245,165,80,245,200,165,72.7,18.2,1897,1868,697219,698920,85,0,43.8,1463,1738,114972,505,355,560,480,85,70,10,10,10,10,0
"2","5350002.00","CT","Toronto",3.2947,620,279,270,"35535","35","3520005","3520",38016,78592,270,5,5,5,10,15,10,5,10,15,5,15,20,25,10,20,105,35,20,25,25,655,15,290,250,35,290,210,255,23.5,11.8,473,819,324995,424642,30,0,83.3,713,984,114069,600,260,650,590,60,50,10,10,10,0,0
"3","5350003.00","CT","Toronto",0.94253,749,267,258,"35535","35","3520005","3520",50048,86699,255,15,0,5,5,5,10,5,10,5,10,15,15,25,20,20,100,35,20,25,15,455,115,265,165,100,265,0,165,82.4,38.2,2037,1941,400257,402808,95,0,42.1,1927,1842,87419,420,305,445,365,80,55,25,10,10,0,15
"4","5350004.00","CT","Toronto",0.34347,6686,3609,3455,"35535","35","3520005","3520",22315,37525,3455,140,125,300,355,260,230,210,235,220,180,290,205,140,135,85,345,160,65,60,50,6345,3135,3445,225,3215,3450,1945,225,73.3,37.8,2499,2325,1000800,1031075,3220,9.9,53.5,963,1013,49911,5705,2620,6285,5120,1160,815,345,215,140,75,130
"5","5350005.00","CT","Toronto",0.37612,6424,3729,3424,"35535","35","3520005","3520",28152,47067,3425,85,130,265,360,200,160,155,140,145,150,250,235,205,170,145,615,210,145,145,110,6105,2825,3425,825,2600,3425,920,830,87.3,36.7,1892,2017,449197,585186,2600,30,48.6,1025,1068,62466,5530,2935,6050,4995,1055,745,305,220,160,65,85
"6","5350006.00","CT","Toronto",0.01288,0,0,0,"35535","35","3520005","3520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","5350007.01","CT","Toronto",0.19931,3237,1827,1747,"35535","35","3520005","3520",28245,42475,1745,55,55,115,125,115,120,125,115,95,95,160,120,80,75,55,240,95,45,55,45,3160,1535,1760,215,1540,1760,930,220,60.5,34.1,1667,1996,848337,831840,1540,6.2,51.6,969,1026,57785,2840,1565,3135,2575,560,390,170,95,85,15,70
"8","5350007.02","CT","Toronto",0.43657,4753,2653,2506,"35535","35","3520005","3520",24054,39253,2505,90,95,175,230,180,185,160,160,150,145,210,185,150,95,85,205,95,50,45,20,4590,2310,2495,90,2410,2495,1045,90,66.7,27.8,2265,2029,800521,796136,2405,7.5,50.6,1015,1061,48715,4090,1905,4535,3745,795,510,280,160,115,45,120
"9","5350008.01","CT","Toronto",0.29723,7503,5192,4954,"35535","35","3520005","3520",60550,83473,4950,115,80,80,100,105,110,115,130,130,160,380,410,425,405,365,1850,625,455,420,350,7635,2520,4975,2320,2655,4975,75,2320,89.2,33.5,1966,2003,421051,463687,2660,0.9,43.9,1779,1815,98664,7335,5990,7555,4775,2780,1655,1120,905,700,200,225
"10","5350008.02","CT","Toronto",1.83937,9942,6390,6060,"35535","35","3520005","3520",49924,72619,6060,205,140,180,195,200,190,175,165,215,235,470,535,460,430,340,1925,700,425,435,370,9885,4345,6060,2730,3330,6060,185,2730,86.8,42.5,1891,1977,399612,448020,3330,12.3,45.2,1649,1647,88700,9235,6850,9760,7105,2655,1715,945,665,520,140,285
"11","5350009.00","CT","Toronto",0.10317,567,169,166,"35535","35","3520005","3520",21024,29056,165,0,0,30,20,10,15,10,10,5,10,15,10,5,10,5,5,5,0,0,0,280,130,170,0,175,170,10,0,0,0,0,0,0,0,170,61.8,52.9,1051,985,37975,260,125,275,260,15,10,10,0,0,10,0
"12","5350010.01","CT","Toronto",0.26263,5428,3281,3147,"35535","35","3520005","3520",58896,88640,3145,65,40,75,90,75,100,65,80,95,100,190,195,230,215,210,1335,395,275,325,335,5240,1465,3125,1920,1200,3125,395,1920,79.2,25.8,1880,1886,470517,548633,1200,12.5,37.1,1703,1666,119808,4730,3450,5160,4145,1010,660,355,235,185,50,115
"13","5350010.02","CT","Toronto",0.54735,7740,4628,4447,"35535","35","3520005","3520",51729,79892,4445,130,75,170,145,145,125,150,145,155,145,295,265,275,265,275,1680,495,330,375,480,7400,2205,4445,2410,2035,4450,730,2410,71.6,27.1,1854,1894,448720,564945,2035,8.6,45.7,1412,1490,126929,6830,4890,7320,5775,1545,1120,420,315,200,110,110
"14","5350011.00","CT","Toronto",0.98037,17549,15207,11891,"35535","35","3520005","3520",60626,82950,11890,555,295,290,300,300,285,295,305,330,345,705,855,845,760,710,4715,1370,920,1060,1355,17415,6350,11890,5080,6810,11890,295,5075,80.4,39.2,2000,2094,474960,565771,6815,1.7,44.5,1799,1876,111699,16940,12820,17260,10510,6750,4085,2665,1880,1285,590,790
