"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA1996_7: 0-4","v_CA1996_8: 5-9","v_CA1996_9: 10-14","v_CA1996_31: 0-4","v_CA1996_32: 5-9","v_CA1996_33: 10-14","v_CA1996_783: Total - Total population by visible minority population","v_CA1996_784: Total visible minority population","v_CA1996_1347: Total population 15 years and over by highest level of schooling","v_CA1996_1356: University","v_CA1996_1385: Total by mobility status 1 year ago","v_CA1996_1386: Non-movers","v_CA1996_1387: Movers","v_CA1996_1388: Non-migrants","v_CA1996_1389: Migrants","v_CA1996_1390: Internal migrants","v_CA1996_1391: Intraprovincial migrants","v_CA1996_1392: Interprovincial migrants","v_CA1996_1393: External migrants","v_CA1996_1403: All persons with employment income by work activity","v_CA1996_1454: Median income $","v_CA1996_1614: Household income of all private households","v_CA1996_1615: Under $10,000","v_CA1996_1616: $  10,000 - $19,999","v_CA1996_1617: $  20,000 - $29,999","v_CA1996_1618: $  30,000 - $39,999","v_CA1996_1619: $  40,000 - $49,999","v_CA1996_1620: $  50,000 - $59,999","v_CA1996_1621: $  60,000 - $69,999","v_CA1996_1622: $  70,000 - $79,999","v_CA1996_1623: $  80,000 - $89,999","v_CA1996_1624: $  90,000 - $99,999","v_CA1996_1625: $100,000 and over","v_CA1996_1626: Average household income $","v_CA1996_1627: Median household income $","v_CA1996_1628: Standard error of average household income $","v_CA1996_1701: Average gross rent $","v_CA1996_1702: Gross rent spending  30% or more of household income on shelter costs","v_CA1996_1704: Average owner's major payments $","v_CA1996_1705: Owner's major payments spending 30% or more of household income on shelter costs","v_CA1996_1678: Total number of occupied private dwellings","v_CA1996_1681: Average value of dwelling $","v_CA1996_1682: Owned","v_CA1996_1683: Rented","v_CA1996_1688: Period of construction, before 1946","v_CA1996_1689: Period of construction, 1946-1960"
"1","5350185.02","CT","East York",1.27431764016169,4675,2092,2095,"35535","","3520006","3520",155,110,70,130,90,80,4545,1215,3925,1295,4465,3485,980,535,440,265,250,10,175,2445,19994,2095,210,330,375,235,315,205,100,110,50,35,120,42527,35157,1848,697,615,1017,190,2095,207956,720,1375,480,580
"2","5350189.00","CT","East York",1.24134023599803,6012,2167,2165,"35535","","3520006","3520",205,210,165,185,195,165,5560,1825,4440,1055,5480,4595,880,495,380,285,265,20,95,2665,20147,2165,165,335,315,355,265,180,100,110,125,60,155,45783,37427,1521,741,625,855,230,2165,240599,850,1315,140,935
"3","5350190.01","CT","East York",0.399786383974794,8314,3441,3435,"35535","","3520006","3520",340,235,225,315,240,200,8315,5690,6750,1945,8160,6490,1665,1015,650,255,220,35,400,3940,17325,3435,370,685,605,505,500,255,190,145,45,85,40,35114,30321,832,689,1125,806,380,3435,101952,1150,2285,65,340
"4","5350190.02","CT","East York",0.573858033426672,4600,1973,1970,"35535","","3520006","3520",210,140,110,185,135,115,4600,1855,3705,710,4535,3745,785,420,370,275,235,45,95,2235,19442,1970,175,345,370,255,250,175,150,70,20,75,80,39994,33529,1323,651,570,848,110,1970,192590,585,1385,165,1115
"5","5350191.00","CT","East York",0.818865932290152,4218,1740,1735,"35535","","3520006","3520",135,135,85,150,115,95,4210,1080,3510,930,4160,3705,450,350,100,85,85,0,10,2355,24001,1735,110,210,195,195,235,190,150,100,105,115,120,51221,46323,1711,641,240,812,190,1735,188267,1175,560,280,1210
"6","5350192.00","CT","East York",0.919021431158662,640,350,355,"35535","","3520006","3520",25,10,10,20,20,15,640,195,535,65,630,435,195,85,105,95,95,0,10,300,20268,350,35,100,55,60,25,15,20,15,10,10,0,31123,27191,2421,528,150,717,0,350,220583,45,305,45,180
"7","5350193.00","CT","East York",1.40420488462675,2727,1038,1035,"35535","","3520006","3520",100,95,60,85,100,90,2725,530,2140,785,2690,2340,350,200,150,60,60,0,90,1375,26994,1035,40,115,125,95,115,85,100,80,90,25,165,59734,52362,2585,893,195,968,145,1035,291754,670,370,60,625
"8","5350194.00","CT","East York",3.08050262732315,14065,6109,6085,"35535","","3520006","3520",545,380,315,520,395,295,13745,7755,11295,3615,13470,10680,2790,1390,1400,700,575,125,700,6955,18328,6085,500,1200,1070,1000,780,515,345,290,145,75,165,37390,32190,666,761,2585,839,110,6085,131432,310,5775,110,925
"9","5350195.00","CT","East York",1.34802677297449,5583,2503,2495,"35535","","3520006","3520",230,165,140,220,175,120,5550,420,4500,2305,5450,4980,470,240,230,180,160,20,50,3225,35761,2495,65,255,215,270,210,165,200,180,115,110,715,76032,63204,2394,735,200,1005,285,2495,266216,1850,650,935,1245
"10","5350196.00","CT","East York",1.49474417006081,7184,2995,2980,"35535","","3520006","3520",245,250,215,190,260,225,7130,245,5745,3410,7030,6210,820,480,340,260,185,75,75,4200,35311,2985,50,195,280,280,240,240,155,150,165,140,1080,95935,71556,3163,741,265,1184,225,2980,393154,2010,975,1735,890
