"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA06_101: Total number of occupied private dwellings by housing tenure - 20% sample data","v_CA06_102: Owned","v_CA06_103: Rented","v_CA06_109: Total number of occupied private dwellings by period of construction - 20% sample data","v_CA06_110: Period of construction, before 1946","v_CA06_111: Period of construction, 1946 to 1960","v_CA06_451: Total - Mobility status 1 year ago - 20% sample data","v_CA06_453: Movers","v_CA06_454: Non-migrants","v_CA06_455: Migrants","v_CA06_456: Internal migrants","v_CA06_457: Intraprovincial migrants","v_CA06_458: Interprovincial migrants","v_CA06_459: External migrants","v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1240: University certificate, diploma or degree","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1254: University certificate, diploma or degree","v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data","v_CA06_1268: University certificate, diploma or degree","v_CA06_1302: Total population by visible minority groups - 20% sample data","v_CA06_1303: Total visible minority population","v_CA06_1583: Median income $","v_CA06_1988: Household income in 2005 of private households - 20% sample data","v_CA06_1989: Under $10,000","v_CA06_1990: $10,000 to $19,999","v_CA06_1991: $20,000 to $29,999","v_CA06_1992: $30,000 to $39,999","v_CA06_1993: $40,000 to $49,999","v_CA06_1994: $50,000 to $59,999","v_CA06_1995: $60,000 to $69,999","v_CA06_1996: $70,000 to $79,999","v_CA06_1997: $80,000 to $89,999","v_CA06_1998: $90,000 to $99,999","v_CA06_1999: $100,000 and over","v_CA06_2000: Median household income $","v_CA06_2048: Total number of non-farm, non-reserve private dwellings occupied by usual residents - 20% sample data","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings","v_CA06_2050: Average gross rent $","v_CA06_2051: Tenant-occupied households spending 30% or more of household income on gross rent","v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2054: Average value of dwelling $","v_CA06_2055: Average owner major payments $","v_CA06_2056: Owner households spending 30% or more of household income on owner's major payments"
"1","9330001.01","CT","Vancouver",1.04441,6259,2292,2250,"59933","59","5915022","5915",2250,1255,995,2250,0,50,6045,450,280,165,90,70,25,70,870,95,3415,1325,780,130,6085,3210,24149,2250,90,215,205,235,300,205,185,130,125,145,410,55179,2250,995,758,240,1255,411520,1063,280
"2","9330001.02","CT","Vancouver",2.07433,4616,1775,1698,"59933","59","5915022","5915",1695,1140,560,1700,10,0,4465,770,610,160,110,110,0,50,565,110,2605,1305,585,145,4530,2940,24327,1695,90,140,135,220,110,195,125,100,120,160,310,57724,1695,560,969,210,1140,417005,1161,260
"3","9330002.01","CT","Vancouver",2.04952,5713,2496,2390,"59933","59","5915022","5915",2390,1490,895,2390,45,145,5650,905,445,455,355,265,90,100,740,110,3475,1480,710,125,5710,3430,26873,2390,180,205,180,295,255,215,235,145,75,135,470,53029,2390,895,907,370,1490,493110,1149,430
"4","9330002.02","CT","Vancouver",1.65656,7889,2717,2573,"59933","59","5915022","5915",2570,1765,805,2575,75,345,7670,1100,700,405,215,185,30,190,1190,225,4350,1615,1030,170,7695,5675,21457,2570,115,285,215,315,180,235,200,145,185,85,605,56726,2570,805,800,305,1765,608483,1144,450
"5","9330003.01","CT","Vancouver",0.5394,3667,1158,1096,"59933","59","5915022","5915",1095,710,385,1095,50,275,3635,565,330,235,80,55,20,155,470,75,1980,630,430,65,3665,3225,20017,1100,45,110,125,135,100,110,130,80,55,20,185,52873,1100,380,759,135,715,564002,1116,270
"6","9330003.02","CT","Vancouver",1.19505,4548,1364,1250,"59933","59","5915022","5915",1250,760,490,1250,100,355,4335,810,580,230,105,70,40,130,605,50,2455,705,505,45,4410,3970,18664,1245,120,95,120,130,145,110,145,90,75,35,175,53240,1250,485,853,200,760,562255,1241,280
"7","9330004.01","CT","Vancouver",1.62457,4233,1471,1382,"59933","59","5915022","5915",1380,915,465,1380,90,260,3960,490,275,220,105,90,10,110,590,100,2165,1075,675,150,3975,3085,20422,1380,85,125,145,140,150,100,105,95,120,40,280,56607,1380,465,899,210,915,591682,1089,210
"8","9330004.02","CT","Vancouver",1.25734,5406,1702,1537,"59933","59","5915022","5915",1535,885,650,1535,125,365,5330,1065,690,375,160,120,45,210,695,50,2965,945,660,55,5395,4780,17167,1540,120,80,180,145,160,220,165,110,85,90,185,54245,1535,650,817,265,885,610643,1281,330
"9","9330005.00","CT","Vancouver",1.56517,7451,4376,4140,"59933","59","5915022","5915",4140,470,3670,4140,180,695,7365,1990,1035,955,490,315,180,460,915,170,5215,2415,430,130,7450,3925,22282,4140,550,600,620,715,590,290,295,155,135,80,110,33810,4140,3665,755,1575,470,270683,909,155
"10","9330006.01","CT","Vancouver",0.91503,4710,1702,1623,"59933","59","5915022","5915",1620,1150,470,1620,305,295,4675,585,335,245,120,105,15,125,810,120,2705,1300,525,115,4700,3510,18356,1620,110,160,175,225,140,115,125,115,25,55,380,49804,1620,470,937,245,1155,712075,1151,305
