"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"1","9330001.01","CT","Vancouver",1.01953,6311,2316,2297,"59933","59","5915022","5915","0.21600000000000003",1225,49.6,1070,47.7,720,479654,873,1038,533334,860
"2","9330001.02","CT","Vancouver",2.02898,4837,1729,1708,"59933","59","5915022","5915","0.223",1135,55.3,570,59.6,1190,500839,887,1295,569175,886
"3","9330002.01","CT","Vancouver",2.02909,5974,2552,2459,"59933","59","5915022","5915","0.273",1605,57.2,855,27.3,1214,599815,1012,1318,659173,944
"4","9330002.03","CT","Vancouver",0.78516,4005,1276,1158,"59933","59","5915022","5915","0.24600000000000002",860,38.4,260,7.7,727,899768,843,1179,958593,946
"5","9330002.04","CT","Vancouver",0.84513,4503,1538,1457,"59933","59","5915022","5915","0.27699999999999997",965,55.4,470,16,964,696382,1037,1254,740553,1140
"6","9330003.01","CT","Vancouver",0.54316,3772,1150,1070,"59933","59","5915022","5915","0.242",615,55.3,485,11.2,1237,751923,850,1352,817743,932
"7","9330003.02","CT","Vancouver",1.19645,4671,1412,1281,"59933","59","5915022","5915","0.228",640,56.6,660,3,1296,775937,855,1483,826856,944
"8","9330004.01","CT","Vancouver",1.6329,4514,1568,1484,"59933","59","5915022","5915","0.203",985,45.7,500,23,809,848390,851,1390,889532,952
"9","9330004.02","CT","Vancouver",1.24706,5756,1743,1585,"59933","59","5915022","5915","0.25",885,54.2,705,3.5,1429,799640,849,1461,797944,940
"10","9330005.00","CT","Vancouver",1.57041,7207,4431,4246,"59933","59","5915022","5915","0.271",550,53.2,3700,9.7,1064,338823,846,1025,429697,875
"11","9330006.01","CT","Vancouver",0.91749,4827,1740,1664,"59933","59","5915022","5915","0.254",1175,43,490,4.1,750,1000307,1017,1423,1153598,1208
"12","9330006.02","CT","Vancouver",1.09361,5441,1865,1801,"59933","59","5915022","5915","0.252",1155,39.2,645,14.1,751,1002336,999,1270,1121293,1070
"13","9330007.01","CT","Vancouver",2.84304,5157,2015,1932,"59933","59","5915022","5915","0.276",1385,39.7,550,47.3,943,1502133,763,1613,1523366,901
"14","9330007.02","CT","Vancouver",1.41849,3705,1257,1203,"59933","59","5915022","5915","0.27",925,37.8,290,0,1134,2002309,1843,1916,2207127,1890
"15","9330008.01","CT","Musqueam 2",3.19919,1569,556,544,"59933","59","5915803","5915","0.327",0,0,0,0,0,0,0,0,0,0
"16","9330008.02","CT","Vancouver",3.74406,4287,1606,1482,"59933","59","5915022","5915","0.29100000000000004",1295,38.8,175,0,1132,1799185,1667,1975,1837206,1959
"17","9330009.00","CT","Vancouver",1.6647,7484,3453,3257,"59933","59","5915022","5915","0.298",1665,35.2,1595,2.5,1018,1501552,1098,1644,1650288,1275
"18","9330010.01","CT","Vancouver",1.41537,4943,2127,1967,"59933","59","5915022","5915","0.273",1355,36.5,610,2.4,930,1103465,1280,1535,1344841,1470
"19","9330010.02","CT","Vancouver",1.39303,4738,1713,1632,"59933","59","5915022","5915","0.239",925,34.2,710,7,1019,1798302,1526,1567,1902881,1510
"20","9330011.00","CT","Vancouver",1.5728,6645,2415,2209,"59933","59","5915022","5915","0.266",1315,47.1,895,20.1,1043,800129,802,1362,832031,836
"21","9330012.00","CT","Vancouver",1.54279,7777,2931,2710,"59933","59","5915022","5915","0.259",1825,46.3,885,5.1,958,877858,883,1402,964273,937
"22","9330013.01","CT","Vancouver",1.14038,6346,2216,2031,"59933","59","5915022","5915","0.265",1210,39.7,820,16.5,657,800641,801,1155,800053,938
"23","9330013.03","CT","Vancouver",0.62391,4944,1612,1489,"59933","59","5915022","5915","0.263",910,44.8,580,9.6,850,801026,800,1223,837717,847
"24","9330013.04","CT","Vancouver",0.47728,3584,1169,1075,"59933","59","5915022","5915","0.292",620,48,455,13.2,752,800006,801,1303,815790,837
"25","9330014.01","CT","Vancouver",0.50408,2983,1002,948,"59933","59","5915022","5915","0.325",655,41.5,295,3.4,639,802471,950,1024,786240,960
"26","9330014.02","CT","Vancouver",0.80703,6074,2098,2015,"59933","59","5915022","5915","0.25",1165,39.9,855,34.7,677,800013,682,1117,778012,717
"27","9330015.01","CT","Vancouver",0.93135,5364,1726,1642,"59933","59","5915022","5915","0.295",1200,30.4,445,4.5,626,848832,801,967,892680,833
"28","9330015.02","CT","Vancouver",1.34265,6163,1886,1806,"59933","59","5915022","5915","0.312",1185,36.7,620,21,643,823838,803,1114,855539,881
"29","9330016.01","CT","Vancouver",0.67646,5239,1786,1731,"59933","59","5915022","5915","0.29100000000000004",880,47.7,855,34.1,746,753619,836,1120,734174,834
"30","9330016.04","CT","Vancouver",0.93633,7278,2638,2505,"59933","59","5915022","5915","0.275",1645,58.7,860,12.1,1143,649378,825,1332,608809,872
"31","9330016.05","CT","Vancouver",0.54272,4955,1906,1825,"59933","59","5915022","5915","0.201",725,46.2,1100,18.6,711,699760,851,1140,672751,858
"32","9330016.06","CT","Vancouver",0.12378,4946,2591,2488,"59933","59","5915022","5915","0.156",1380,68.5,1110,9,1098,331521,1199,1050,362062,1221
"33","9330017.01","CT","Vancouver",1.15993,6830,2313,2135,"59933","59","5915022","5915","0.253",1340,46.6,795,16.4,724,822382,876,1183,838127,910
"34","9330017.02","CT","Vancouver",0.85474,6529,2197,2084,"59933","59","5915022","5915","0.254",1365,45.8,720,24.5,703,750231,805,1169,708179,885
"35","9330018.01","CT","Vancouver",0.90264,7039,2554,2271,"59933","59","5915022","5915","0.252",1385,39.6,880,8.5,643,799975,903,1167,781544,970
