"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2397: Median total income of households in 2015 ($)","v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data","v_CA16_2406: Under $5,000","v_CA16_2407: $5,000 to $9,999","v_CA16_2408: $10,000 to $14,999","v_CA16_2409: $15,000 to $19,999","v_CA16_2410: $20,000 to $24,999","v_CA16_2411: $25,000 to $29,999","v_CA16_2412: $30,000 to $34,999","v_CA16_2413: $35,000 to $39,999","v_CA16_2414: $40,000 to $44,999","v_CA16_2415: $45,000 to $49,999","v_CA16_2416: $50,000 to $59,999","v_CA16_2417: $60,000 to $69,999","v_CA16_2418: $70,000 to $79,999","v_CA16_2419: $80,000 to $89,999","v_CA16_2420: $90,000 to $99,999","v_CA16_2421: $100,000 and over","v_CA16_2422: $100,000 to $124,999","v_CA16_2423: $125,000 to $149,999","v_CA16_2424: $150,000 to $199,999","v_CA16_2425: $200,000 and over","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population","v_CA16_4836: Total - Private households by tenure - 25% sample data","v_CA16_4837: Owner","v_CA16_4838: Renter","v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data","v_CA16_4863: 1960 or before","v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_4985: Average total income of households in 2015 ($)","v_CA16_5051: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","v_CA16_5105: Postsecondary certificate, diploma or degree","v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data","v_CA16_6695: Non-movers","v_CA16_6698: Movers","v_CA16_6701: Non-migrants","v_CA16_6704: Migrants","v_CA16_6707: Internal migrants","v_CA16_6710: Intraprovincial migrants","v_CA16_6713: Interprovincial migrants","v_CA16_6716: External migrants"
"1","9330001.01","CT","Vancouver",1.01953,6293,2334,2314,"59933","59","5915022","5915",31232,72141,2315,20,15,30,110,85,85,100,95,105,90,205,185,165,165,135,730,275,200,175,75,6090,3090,2325,1235,1090,2330,60,1235,52.2,20.6,954,1138,580305,692640,1095,43.6,24.3,1043,1053,83305,5210,2195,6060,5590,475,355,120,65,55,15,55
"2","9330001.02","CT","Vancouver",2.02898,5456,2132,2089,"59933","59","5915022","5915",34432,76826,2090,30,25,55,85,70,90,80,80,65,85,145,135,140,135,110,755,255,195,185,125,5355,3670,2075,1340,735,2075,65,1340,62.7,20.9,1476,1445,600367,762082,730,37.4,33.3,1264,1182,90833,4485,2240,5285,4475,815,520,290,215,155,50,80
"3","9330002.01","CT","Vancouver",2.02909,6150,2631,2507,"59933","59","5915022","5915",34048,72448,2505,60,30,60,95,85,90,100,100,95,115,210,165,160,150,145,840,280,185,220,165,6040,3985,2500,1490,1005,2495,200,1490,57,21.1,1192,1410,739622,1051731,1005,21.8,41.6,1171,1148,85953,5230,2515,5960,5115,840,525,315,245,185,60,70
"4","9330002.03","CT","Vancouver",0.78516,4077,1497,1292,"59933","59","5915022","5915",26133,77824,1290,35,10,35,55,50,55,50,60,45,40,80,85,60,75,55,495,125,85,155,135,4080,3550,1285,820,465,1285,140,820,40.2,20.2,893,1583,1647949,1716969,465,9.7,36.6,1004,1072,99849,3585,1295,4050,3415,630,315,315,105,75,25,210
"5","9330002.04","CT","Vancouver",0.84513,4509,1652,1560,"59933","59","5915022","5915",32864,81701,1560,15,25,25,60,60,50,50,70,60,50,95,100,95,90,95,610,175,140,165,130,4280,2805,1570,1020,555,1570,115,1020,56.4,23.5,1203,1669,850650,1136867,550,21.8,33.6,1147,1173,100598,3680,1640,4250,3705,545,355,195,115,60,50,75
"6","9330003.01","CT","Vancouver",0.54316,3714,1210,1080,"59933","59","5915022","5915",24870,73472,1080,25,10,25,35,30,45,50,30,45,40,95,85,85,70,60,350,120,85,90,50,3660,3380,1075,590,480,1070,225,590,57.1,32.2,1540,1868,1503650,1544739,480,6.2,36.5,1010,1139,84627,3040,1110,3625,3160,465,300,165,50,45,0,115
"7","9330003.02","CT","Vancouver",1.19645,4613,1429,1316,"59933","59","5915022","5915",24416,67840,1315,40,20,30,50,45,70,50,55,55,55,110,100,90,75,60,405,150,85,95,75,4440,3975,1320,645,680,1325,260,645,64.3,36.7,1787,1871,1394934,1379782,680,6.6,41.9,903,1056,81588,3795,1290,4380,3525,860,535,325,180,150,30,150
"8","9330004.01","CT","Vancouver",1.63291,4925,2537,1928,"59933","59","5915022","5915",25196,59026,1930,165,50,65,110,80,80,70,70,85,70,145,115,100,105,90,535,165,105,140,125,4615,3730,1925,1115,810,1930,320,1120,47.5,34.5,917,1441,1203963,1474672,815,14.8,50.6,1421,1368,75712,4090,1840,4565,3245,1320,785,540,280,205,75,255
"9","9330004.02","CT","Vancouver",1.24706,5652,1847,1689,"59933","59","5915022","5915",24561,70067,1690,50,25,40,50,75,60,80,70,75,60,125,130,125,110,100,515,180,115,125,95,5630,4930,1690,855,835,1690,360,855,53.2,33.3,1333,1783,1400133,1492650,835,5.4,30.7,948,1105,87115,4820,1770,5595,4790,810,500,315,180,140,40,135
"10","9330005.00","CT","Vancouver",1.59397,7302,4444,4326,"59933","59","5915022","5915",29376,44160,4325,175,95,280,300,255,255,295,270,280,240,490,340,275,215,135,415,230,100,70,15,7305,3620,4325,495,3830,4330,910,495,60.2,20.6,1037,1110,340586,467625,3830,8,45.6,937,994,52112,6685,3490,7225,5845,1375,820,555,415,285,130,135
"11","9330006.01","CT","Vancouver",0.91749,4699,1784,1687,"59933","59","5915022","5915",25152,67123,1685,55,45,55,60,60,75,80,65,70,60,140,105,90,95,70,570,155,120,150,145,4540,3405,1635,1085,550,1635,405,1090,41,30,1001,1702,2000526,2028076,545,0,40.4,1032,1314,95901,3950,1810,4505,3950,555,315,235,130,80,50,105
"12","9330006.02","CT","Vancouver",1.09361,5233,1925,1827,"59933","59","5915022","5915",24722,66125,1825,60,45,60,90,80,70,90,55,85,70,130,120,105,110,75,575,145,115,170,150,5190,4000,1875,1140,740,1880,335,1140,42.1,29.4,947,1719,1999172,1969471,740,12.8,46.3,1096,1226,87075,4590,2040,5135,4360,775,395,380,150,100,50,225
"13","9330007.01","CT","Vancouver",2.84304,5543,2373,2157,"59933","59","5915022","5915",31472,73280,2160,110,55,65,100,95,75,90,60,75,70,125,125,110,105,100,800,175,110,170,350,5345,3355,2130,1400,730,2130,540,1395,47,30.6,1207,1935,2397887,2249469,735,25.9,41.8,1131,1302,123604,4580,2270,5295,4380,915,565,350,215,160,55,135
"14","9330007.02","CT","Vancouver",1.41849,3452,1256,1153,"59933","59","5915022","5915",35100,99520,1155,45,20,10,30,20,40,40,25,30,40,55,55,70,45,45,575,85,70,95,325,3650,2580,1180,1000,180,1185,395,1000,42.3,39.4,1782,2720,3493813,3361575,180,0,47.2,1656,1994,186072,3155,1380,3625,3015,610,345,265,80,65,10,185
"15","9330008.01","CT","Musqueam 2",3.19919,1652,615,578,"59933","59","5915803","5915",29968,81408,580,40,10,20,15,15,20,20,10,20,20,45,30,30,35,20,235,60,40,50,90,1650,300,580,415,140,580,20,0,0,0,0,0,0,0,0,0,0,0,0,104695,1350,520,1635,1445,195,135,60,30,25,10,30
"16","9330008.02","CT","Vancouver",3.74406,4200,1619,1495,"59933","59","5915022","5915",45210,125184,1495,40,25,20,35,30,35,25,40,35,35,55,65,70,65,40,865,120,100,150,500,4235,1765,1490,1320,170,1490,580,1315,38.8,24.1,1255,2308,3002444,2968823,165,0,60.6,1950,2069,243211,3585,1750,4200,3635,565,380,180,75,55,20,110
"17","9330009.00","CT","Vancouver",1.6647,7103,3440,3199,"59933","59","5915022","5915",31837,60544,3200,155,65,110,150,145,155,160,120,155,120,235,230,160,125,135,980,230,155,190,410,7085,4080,3195,1625,1575,3200,1055,1625,37.8,37.5,1372,2031,2206738,2450291,1575,2.2,49.5,1255,1422,109813,6245,2990,7055,5910,1150,705,445,150,100,45,290
"18","9330010.01","CT","Vancouver",1.41537,5352,2389,2212,"59933","59","5915022","5915",27930,58197,2210,105,60,90,170,85,115,110,105,70,75,140,125,110,90,75,690,150,115,160,265,5645,4080,2280,1460,820,2280,390,1465,36.6,39,1198,1928,1505397,2242269,820,16,55.6,1337,1490,100915,4905,2215,5605,4695,910,515,390,230,170,60,165
"19","9330010.02","CT","Vancouver",1.39303,4741,1760,1647,"59933","59","5915022","5915",25422,71467,1650,65,45,55,60,50,80,70,70,65,60,90,90,95,80,75,585,130,110,145,200,4345,3455,1575,815,765,1580,390,810,41.1,39.5,1502,2407,3006463,2931338,765,6.5,53.3,1648,1637,104711,3830,1660,4325,3795,530,295,240,75,55,20,165
"20","9330011.00","CT","Vancouver",1.5728,6615,2642,2310,"59933","59","5915022","5915",24647,63334,2310,60,40,70,135,110,120,105,95,95,105,185,130,140,130,100,690,205,160,165,160,6615,5470,2310,1285,1025,2310,440,1285,42.6,28.1,822,1550,1499413,1420312,1025,14.6,41.2,950,1086,82028,5690,2285,6555,5415,1145,695,450,220,175,40,235
"21","9330012.00","CT","Vancouver",1.54279,8102,3337,2904,"59933","59","5915022","5915",28651,71851,2905,95,35,80,100,110,100,120,130,105,120,215,195,190,165,135,1015,280,195,270,270,8080,5685,2905,1735,1170,2905,830,1735,47,28.2,1105,1811,1799537,1890078,1170,5.2,40.5,1092,1194,98170,6970,3450,8030,6665,1370,840,530,280,155,125,245
"22","9330013.01","CT","Vancouver",1.14038,6485,2398,2155,"59933","59","5915022","5915",23580,65978,2155,45,25,80,110,105,100,95,105,95,85,160,145,140,115,105,650,245,145,140,120,6480,5355,2155,1170,985,2155,395,1170,41,24.8,743,1379,1451334,1386237,985,15.2,38.8,1001,1084,80367,5565,2015,6420,5405,1020,635,390,150,105,45,240
"23","9330013.03","CT","Vancouver",0.62391,4981,1727,1562,"59933","59","5915022","5915",24149,63872,1560,25,15,35,80,80,75,75,85,75,70,120,115,85,80,75,480,155,105,135,85,4950,4170,1545,845,695,1540,270,845,52.7,29,1159,1669,1502316,1480765,700,16.5,37.4,904,1022,85641,4270,1465,4900,4315,585,320,260,135,105,30,130
"24","9330013.04","CT","Vancouver",0.47728,3635,1243,1102,"59933","59","5915022","5915",23399,71782,1100,20,25,20,40,45,30,50,35,45,50,95,85,75,75,50,365,120,85,100,60,3665,3405,1120,670,455,1120,225,665,40.6,25.6,777,1543,1347364,1384811,455,4.4,31.1,1002,1081,83318,3120,980,3640,3240,395,270,130,65,40,25,65
