"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA1996_7: 0-4","v_CA1996_8: 5-9","v_CA1996_9: 10-14","v_CA1996_31: 0-4","v_CA1996_32: 5-9","v_CA1996_33: 10-14","v_CA1996_783: Total - Total population by visible minority population","v_CA1996_784: Total visible minority population","v_CA1996_1347: Total population 15 years and over by highest level of schooling","v_CA1996_1356: University","v_CA1996_1385: Total by mobility status 1 year ago","v_CA1996_1386: Non-movers","v_CA1996_1387: Movers","v_CA1996_1388: Non-migrants","v_CA1996_1389: Migrants","v_CA1996_1390: Internal migrants","v_CA1996_1391: Intraprovincial migrants","v_CA1996_1392: Interprovincial migrants","v_CA1996_1393: External migrants","v_CA1996_1403: All persons with employment income by work activity","v_CA1996_1454: Median income $","v_CA1996_1614: Household income of all private households","v_CA1996_1615: Under $10,000","v_CA1996_1616: $  10,000 - $19,999","v_CA1996_1617: $  20,000 - $29,999","v_CA1996_1618: $  30,000 - $39,999","v_CA1996_1619: $  40,000 - $49,999","v_CA1996_1620: $  50,000 - $59,999","v_CA1996_1621: $  60,000 - $69,999","v_CA1996_1622: $  70,000 - $79,999","v_CA1996_1623: $  80,000 - $89,999","v_CA1996_1624: $  90,000 - $99,999","v_CA1996_1625: $100,000 and over","v_CA1996_1626: Average household income $","v_CA1996_1627: Median household income $","v_CA1996_1628: Standard error of average household income $","v_CA1996_1701: Average gross rent $","v_CA1996_1702: Gross rent spending  30% or more of household income on shelter costs","v_CA1996_1704: Average owner's major payments $","v_CA1996_1705: Owner's major payments spending 30% or more of household income on shelter costs","v_CA1996_1678: Total number of occupied private dwellings","v_CA1996_1681: Average value of dwelling $","v_CA1996_1682: Owned","v_CA1996_1683: Rented","v_CA1996_1688: Period of construction, before 1946","v_CA1996_1689: Period of construction, 1946-1960"
"1","9330044.00","CT","Vancouver",2.76513523782492,4921,2124,2100,"59933","","5915022","5915",105,135,150,90,105,140,4925,810,4200,2600,4865,4025,835,480,350,195,95,100,155,2740,29599,2105,140,315,170,180,180,150,145,105,45,80,600,88509,54671,4836,850,360,966,120,2105,762056,1130,970,595,345
"2","9330045.01","CT","Vancouver",0.65647806648016,4191,2121,2100,"59933","","5915022","5915",70,75,45,60,55,55,4145,300,3790,2435,4110,2930,1180,760,420,315,125,185,105,3160,27999,2100,100,210,265,245,250,180,155,145,80,70,390,66111,48090,3053,894,480,1001,225,2100,537890,845,1255,1155,395
"3","9330045.02","CT","Vancouver",0.734686184295535,5081,2434,2415,"59933","","5915022","5915",110,85,65,115,70,85,5060,540,4525,2790,4995,3440,1555,1060,495,355,190,165,140,3665,25381,2415,145,270,255,360,280,200,230,145,125,80,320,56344,45191,1860,877,575,1112,200,2415,387031,890,1520,1040,420
"4","9330046.00","CT","Vancouver",0.489868967851639,4793,2922,2890,"59933","","5915022","5915",60,55,40,65,40,45,4780,580,4475,2600,4725,3275,1450,965,490,360,155,200,125,3720,23971,2890,300,410,445,450,335,245,235,155,85,55,175,43011,34916,1270,734,825,922,215,2890,272234,705,2190,590,455
"5","9330047.00","CT","Vancouver",0.673385098087434,7631,5035,4980,"59933","","5915022","5915",80,40,45,75,45,40,7535,705,7215,4430,7505,5120,2385,1520,865,770,330,445,95,5945,29568,4980,390,660,685,795,620,480,295,280,150,170,450,50378,39739,1409,779,1305,774,205,4980,262867,1380,3605,545,1035
"6","9330048.00","CT","Vancouver",1.16048400074091,5873,3698,3645,"59933","","5915022","5915",60,45,35,65,30,65,5870,780,5580,3145,5825,4100,1725,1160,565,470,175,290,90,4495,27317,3645,320,555,445,575,415,290,295,205,95,100,340,51955,38153,2136,796,975,984,365,3645,312797,1280,2360,525,530
"7","9330004.00","CT","Vancouver",2.79322468512419,8774,2639,2630,"59933","","5915022","5915",310,250,270,245,235,235,8510,6245,6960,1810,8450,6990,1455,875,585,275,190,85,305,4315,15304,2630,245,345,385,310,280,280,195,135,155,80,215,48206,40421,1558,740,405,840,425,2630,368285,1570,1065,315,885
"8","9330005.00","CT","Vancouver",1.34088259611702,6553,4059,4015,"59933","","5915022","5915",135,60,70,120,80,80,6550,1760,6010,2450,6510,4100,2410,1285,1120,680,425,255,445,4655,19504,4015,500,775,715,840,450,320,160,125,30,40,60,32576,30162,738,635,1585,837,80,4020,175509,265,3755,160,855
"9","9330006.00","CT","Vancouver",2.03079993522823,9328,3085,3070,"59933","","5915022","5915",180,225,320,165,235,310,8970,5825,7545,2865,8885,7020,1865,1015,845,285,180,110,560,4200,16666,3075,355,465,440,400,295,265,195,125,120,75,320,48785,36616,1746,870,585,807,470,3070,537315,1725,1345,405,810
"10","9330007.00","CT","Vancouver",4.15220007270384,8559,2866,2845,"59933","","5915022","5915",190,240,330,145,280,300,8500,3665,7010,3460,8450,7285,1165,685,485,190,85,110,290,4375,24136,2850,180,325,220,270,200,225,160,175,110,110,855,84816,59408,3396,1002,280,1036,435,2845,758160,2005,840,935,520
"11","9330015.01","CT","Vancouver",0.948386159633018,4493,1334,1335,"59933","","5915022","5915",105,110,145,100,125,170,4490,3045,3745,820,4450,3710,745,345,395,160,115,45,230,2130,17824,1335,150,105,140,205,135,135,115,75,75,45,135,52313,45212,2312,881,170,684,200,1335,406602,980,345,140,495
"12","9330015.02","CT","Vancouver",1.36011523036158,5143,1803,1800,"59933","","5915022","5915",115,155,185,80,145,160,5130,3140,4300,1125,5090,4510,580,350,225,150,145,0,80,2165,14370,1800,195,425,220,195,210,125,125,100,60,35,110,41460,33232,1754,656,355,610,195,1795,423680,1085,710,130,600
"13","9330016.01","CT","Vancouver",0.681188257184386,4258,1371,1365,"59933","","5915022","5915",115,165,150,125,135,155,4255,2735,3400,770,4220,3520,705,530,170,50,40,10,125,1940,14250,1365,165,240,215,150,150,135,115,65,25,50,65,40400,33179,1692,683,330,809,195,1365,401589,640,725,140,225
"14","9330016.02","CT","Vancouver",1.60439734437895,11977,4048,4025,"59933","","5915022","5915",485,365,355,465,325,285,11965,8240,9660,2150,11770,9330,2440,1540,900,535,360,170,370,6240,14980,4025,530,680,530,505,510,350,295,180,85,130,220,40919,35030,1030,702,910,903,740,4025,268460,2155,1870,335,685
"15","9330017.01","CT","Vancouver",1.17527485966307,5747,1661,1660,"59933","","5915022","5915",175,190,160,145,170,175,5745,3985,4750,1020,5655,4715,940,695,240,175,130,50,65,2960,14982,1660,140,235,240,200,195,135,95,95,95,25,195,50689,40271,2513,818,210,657,215,1660,369386,1175,485,250,470
"16","9330017.02","CT","Vancouver",0.875108546399962,5495,1649,1645,"59933","","5915022","5915",210,185,170,150,145,130,5445,3825,4455,915,5345,4505,840,610,230,110,55,55,120,2815,15142,1645,145,210,200,235,165,215,115,130,45,60,125,47310,42767,1700,705,275,804,325,1645,304944,1110,530,300,365
"17","9330018.01","CT","Vancouver",0.913684951729849,5857,1714,1710,"59933","","5915022","5915",200,170,190,160,185,165,5835,4210,4760,840,5720,4695,1025,735,290,190,75,110,100,3090,16872,1710,85,280,235,230,150,145,155,110,80,35,190,50781,40612,1862,807,315,731,255,1715,364197,1110,600,310,390
"18","9330018.02","CT","Vancouver",1.00599354287164,6269,1932,1925,"59933","","5915022","5915",220,200,190,220,200,190,6260,4440,5020,1180,6165,5150,1020,730,280,130,45,85,155,3295,16027,1920,185,235,215,290,190,185,155,135,125,75,120,48467,42075,1856,738,300,838,370,1925,319987,1300,620,530,540
"19","9330019.00","CT","Vancouver",1.88777278026092,5175,1916,1905,"59933","","5915022","5915",120,140,150,125,125,135,5060,2870,4280,1490,5035,4145,890,620,270,145,40,105,125,2375,17428,1900,145,380,210,230,180,190,120,120,85,65,175,53482,39730,3984,686,390,744,175,1900,363515,1060,845,420,640
"20","9330020.00","CT","Vancouver",1.40366420058084,2544,775,770,"59933","","5915022","5915",40,45,60,35,35,55,2255,1165,1995,920,2235,1900,335,160,170,70,50,15,105,1055,21113,770,35,45,90,70,40,85,60,35,35,20,245,93052,60842,6949,1161,45,1008,135,770,671366,640,130,115,235
"21","9330021.00","CT","Vancouver",2.25461689557767,4222,1249,1240,"59933","","5915022","5915",90,135,220,80,130,170,4210,1505,3410,1980,4180,3490,690,430,255,160,115,45,95,2150,29401,1240,65,80,80,90,25,70,50,60,50,65,610,151942,94434,11540,1006,70,1359,180,1245,1088754,1010,235,935,105
"22","9330022.00","CT","Vancouver",0.323196728013366,2694,1620,1610,"59933","","5915022","5915",30,30,45,30,30,35,2695,655,2495,1175,2665,2170,495,285,210,155,40,115,50,1250,25902,1610,75,260,290,255,200,175,65,60,35,65,115,48577,36337,2803,917,520,722,105,1610,461284,495,1115,165,340
"23","9330023.00","CT","Vancouver",1.203010977507,4435,1306,1295,"59933","","5915022","5915",80,155,215,90,145,185,4240,1410,3365,1955,4195,3620,580,330,245,100,55,45,150,2350,27374,1300,35,70,110,100,100,80,95,110,65,75,450,88567,77021,3950,1405,130,1036,180,1295,673904,1005,290,795,155
